group,CD3,CD4,CD95,CD45RO,CD45RA,CD27,CD38
healthy,0.23218555267986,-0.0880826330448293,-0.442250042225473,-0.600359398598256,0.368830686059014,0.185658794018206,0.242886455901965
healthy,0.292068493231281,-0.0489964954368373,-0.407540369130725,-0.740127846614801,0.346565315425317,0.437994033095531,0.158934480399575
healthy,0.180661822678792,-0.193986905838756,-0.557876317837984,-0.696021388273167,0.300594842963172,0.312962114692036,0.232887605539619
healthy,0.427102377290624,0.0718182927057578,-0.776427939649839,-0.735907234628236,0.681339658703135,0.568399916160693,0.321776450843206
healthy,0.188787121906445,-0.0904650603076204,-0.458543937254328,-0.649084700944185,0.535554460933838,0.290946653571721,0.54230112207027
moderate,0.0905461599346315,0.0556371249010935,-0.551457027047552,-0.526538756380909,0.545979827910553,0.482371567563843,0.307549047909944
moderate,-0.0574449405678853,-0.428894011617348,-0.459881237737714,-0.614380452797718,0.150456550758907,0.129767364765005,0.0966490055913573
moderate,-0.0161410244649718,-0.302504744119018,-0.459475098065146,-0.354667910245855,0.571128972142807,0.236425966739,0.500534257282101
severe,-0.254472110692807,-0.0915609385457768,0.228174195833205,0.392482210143532,-0.0535868193507823,-0.429470141384718,0.261563810786711
severe,0.340012056794256,0.108261146933129,-0.184011757868392,-0.538158256111198,0.150346145704098,0.247902985070885,-0.0337257692165399
severe,-0.0560116557549151,0.163875524601576,0.325748515157945,-0.0080603071452992,-0.083788684371219,-0.153218258256293,0.17404607489577
severe,0.409051740530498,0.163064922088015,-0.4450514301189,-0.351924190430113,0.419087250067466,0.529089106819061,0.0487835751751391
