group,CD95,CD45RO,CD27,CD95,CD45RO,CD27,CD45RO
healthy,0.572053930352396,0.590957800041153,-0.525474284083444,0.580938512440572,0.657491322840692,-0.453553637003725,0.583431246551303
healthy,0.398860173065806,0.756938923918699,-0.453802869280275,0.409881776077314,0.749580667946607,-0.475218218631203,0.7356123281486
healthy,0.344823316085831,0.498956581385639,-0.756214663931795,0.423751018253134,0.567397329498103,-0.784589184788603,0.389775922318859
healthy,0.743574551278859,0.622259845579988,-0.609698780601962,0.714082508923172,0.6516725478699,-0.448211726813068,-0.19328967180147
healthy,0.599234338685592,0.643509746458547,-0.577999660711295,0.652376289977975,0.323614825751764,-0.24326785360386,0.0849200837656708
moderate,0.445992814467176,0.569873999416255,-0.518044678613918,0.680064378329166,0.705945056793413,-0.47661662014194,0.37703596225716
moderate,0.330819404112246,0.423455762799198,-0.443318898742313,0.607175930893553,0.732355322570658,-0.466214250374318,0.288807191762295
moderate,0.643272421783297,0.49894168818605,-0.528038715004946,0.760161494183785,0.70621093367234,-0.395391713709216,0.354130075070411
severe,0.482505510705116,0.643454821530589,-0.483277465655073,0.546241976316292,0.706528641310249,-0.469793987826792,0.612923774001047
severe,0.11133493207465,0.280033239928738,0.233683978682954,0.133917960237486,-0.336260223529087,0.206848598173787,0.554191133011586
severe,0.379249148937897,0.122835763794978,-0.167837500610327,0.252717363405576,0.180639580391774,-0.0260015620967444,0.244151190373095
severe,0.540057163577078,0.434660654024886,-0.503778417257239,0.138204534437741,-0.0114759753110378,0.0074140774723609,-0.100736959374332
