group,CD69,CD28,CD95,CD45RO,CD45RA,CD123,CD27,CD127
healthy,0.0574936975372195,0.13728932357995,0.585566601720141,0.652254231932669,-0.247461221291229,0.044116540954203,-0.395985893618027,-0.131855162745807
healthy,0.0021516038377721,0.150196441043851,0.388122413570653,0.689374842386608,-0.284822683243525,0.0675998321795586,-0.459283703206606,0.038111629884863
healthy,0.072229571542512,-0.182453244865926,0.281497657928393,0.439107812306131,-0.102180665157095,0.0005736426794672,-0.787199023952183,0.0399930018621489
healthy,0.0179074869599303,0.220090827614727,0.681665793044731,0.610284559467909,-0.509667831828996,-0.0764516916267339,-0.531237786830742,-0.267447321138717
healthy,-0.0482341696492567,0.163353301294144,0.290253366563358,0.0110432490970498,0.0619236337374213,-0.119433965145708,0.176544560173835,-0.578062170522252
moderate,0.181475650597356,0.241733963918301,0.610542940269535,0.607734737433819,-0.355290031863699,0.0223422788297964,-0.441375343207765,-0.180490914707332
moderate,0.112850384165562,0.0475546517786228,0.529339198982955,0.647887019612245,-0.313155344287736,-0.0151497353232883,-0.567127894716479,-0.0019243685821824
moderate,0.114893171656677,0.264409361871528,0.700589457086312,0.567159449166434,-0.376300022761933,0.0772942902567255,-0.505199929739986,0.0036138216123619
severe,0.0559384140147315,0.488588144346208,0.563094604306686,0.711158626933862,-0.411307424963776,0.100594960202268,-0.461092189585379,0.039960337528792
severe,0.0481070333773756,0.143932591801678,0.344606636764306,0.623024503005459,-0.211587461504793,0.0339917580218089,-0.09325106817657,-0.13011490534024
severe,0.213310484966366,0.179573740841573,0.419848001669707,0.382614279738384,-0.0874593292269256,0.472008616912859,-0.0535299946601696,0.149535524907476
severe,-0.451225148135745,0.346704052124802,0.434151057500244,0.552272439455178,-0.549733779403267,-0.196236851186773,-0.195174623041656,-0.175393622787457
