group,CD28,CD95,CD45RO,CD45RA,CD123,CD27,CD127
healthy,0.319397339970371,0.58092734104384,0.629137138329899,-0.23823440568356,0.0651394038946595,-0.312855097415838,0.179850050725046
healthy,0.19706752915827,0.39518908731195,0.781912841497613,-0.330917022173455,0.0328213117547642,-0.450677085617914,0.108246586660525
healthy,0.330098552391431,0.37731151251431,0.510866617525009,-0.255056418219774,-0.139946999308655,-0.221389619258995,0.154210611250465
healthy,0.341039416898466,0.366804698699856,0.438935401754225,-0.398961797910917,-0.0187850694898812,-0.23381917795129,0.671527374117019
healthy,0.247010464132563,0.813450271394101,0.661432290601379,-0.473622575701311,0.024807110786927,-0.303069110152424,-0.273362287553534
moderate,0.508023360011944,0.630359850593067,0.594299981583474,-0.400882191981821,-0.0603504859522857,-0.228346144012801,0.344727749985085
moderate,0.305317416746038,0.281025838927084,0.319554122268236,0.0613964594570566,0.041154571886947,0.281558115633185,0.335760675506406
moderate,-0.213904591130404,-0.498543539403165,-0.360137049718732,0.20842107158409,-0.106836763096184,0.352353605351294,0.197776747961448
severe,-0.323940936902516,-0.389112668566419,-0.557639857039449,0.513429673719748,0.0572378137614002,0.478886543551961,0.0608452889275915
severe,0.0950424653105619,0.0028279121911167,-0.146846312422239,0.138545205759842,-0.0038433128746321,0.292136184036422,0.230879821917232
severe,-0.118961643389641,-0.355999537641628,-0.208438614233964,-0.163955317411735,-0.533174305423516,0.0700669154310313,-0.120512116365263
severe,0.167629897634452,0.516078000237526,0.534780695664681,-0.58038732267149,0.0890006634412713,-0.549180168639994,-0.125708601939298
