group,CD69,CD28,CD95,CD45RO,CD27,CD127
healthy,0.0025015028229492,0.0894823024181282,0.560484538426137,0.621566556058518,-0.462639329685663,-0.188747296709819
healthy,-0.0033927815249585,0.195948028522512,0.389706305681408,0.711968537701217,-0.44708526824473,0.0764503118240717
healthy,0.0601855219162988,-0.0435887362865108,0.436322618875693,0.559416249457923,-0.729504426122906,-0.0416171720580202
healthy,-0.105089016153568,-0.17111751088069,-0.032321948353412,-0.263060156108693,-0.0998470558060529,-0.693192633322868
healthy,-0.0215783638823665,0.170352180668825,0.726929912876622,0.542287232953828,-0.467549802915455,-0.333882076626959
moderate,0.13276660493324,0.202889456166485,0.630987756099044,0.584341391093069,-0.534929943692904,-0.212926938566446
moderate,0.0683451145681307,0.0079084711902173,0.458500980173368,0.592147460073531,-0.590543277329916,-0.062942143374347
moderate,0.156797498923314,0.341174406415823,0.756074943576414,0.588458362631093,-0.390904068125353,0.122105929795653
severe,0.1354810977871,0.514321192766312,0.562650730426526,0.613675022292363,-0.410008655525359,0.0467700328258672
severe,-0.0755836984150114,-0.0687438497440677,-0.238869955199075,-0.522783604365996,0.0267821529882319,0.0800545340861654
severe,-0.160245411424997,0.173524519744577,0.309449217674753,0.129572285606701,-0.283491903702195,-0.047295759703196
severe,-0.512837521735442,0.333023813628061,0.218749036751736,0.322768561319715,-0.0388737592218894,0.304295440708014
