group,CD28,CD95,CD45RO,CD45RA,CD27,CD38,CD25,CD127
healthy,0.113322778258955,0.289934658244596,0.19679324456284,-0.0772227986048292,-0.471378152532314,-0.110657851211689,0.0514370656953114,0.316702850116723
healthy,0.146314604593391,0.349233551347712,0.669306761615906,-0.257589492864873,-0.398564031962308,-0.109221499897148,0.154167880689704,0.0585765286012143
healthy,-0.234914208583117,-0.0031853591596497,-0.18734903582866,0.14970475565952,-0.296460598082099,0.0324292758828671,0.173001281327643,-0.0512694895163286
healthy,0.275709048429299,0.471937653849763,0.518012537813999,-0.509463933721854,-0.589345368991358,-0.396534380862739,0.0168763108802731,0.646153326869477
healthy,0.265300603211376,0.445439126147171,0.618748216861852,-0.584689099320919,-0.462411051518556,-0.625359404189228,0.0159848739702107,0.449185692313875
moderate,0.128562320843946,0.504839858925188,0.530371534182607,-0.37228966850796,-0.550178301291199,0.0190792135265345,0.209510966453962,-0.271464235668047
moderate,-0.0027971099479491,0.486966569380883,0.61573006781792,-0.324966092805818,-0.608312862954456,-0.0277102661285415,0.0748924535033223,-0.0006269681663323
moderate,0.304168202264229,0.738046822757446,0.705958694225066,-0.494314581551388,-0.477029297246356,-0.196604748549347,0.201075049225263,0.053768269349833
severe,-0.621793002898714,-0.549714732117095,-0.580621347432375,0.269019823640027,-0.0148513400389103,0.0119930338833053,-0.0052375837434585,-0.261099714719941
severe,0.138055179359932,0.192068703850849,0.58573693745759,-0.0919370490388679,-0.0955677557013826,0.160615602155299,0.0508938306902807,-0.0512791052048813
severe,0.231062385266126,0.483266115655827,0.449235746751038,-0.0013436568093013,0.16955503891195,0.116428623301622,0.648474444288186,0.304601435435902
severe,0.28475342913777,0.453254148727196,0.56441277623463,-0.686192129365794,-0.489744570508451,-0.280944335086746,0.212285520331228,0.284204499645444
