group,CD3,CD56,CD69,CD95,CD45RO,CD45RA,CD27,CD25
healthy,0.233508056121394,-0.0748262240396682,-0.102560317677838,-0.64531346594992,-0.650595750163605,0.164193308234358,0.367153779429555,-0.21358866000218
healthy,0.491240397444922,0.0047664279499571,-0.0022379025072369,-0.371059155743983,-0.669197477731115,0.284656332864312,0.453542488897476,-0.131297629915901
healthy,-0.327188847972813,0.191932409435515,-0.0117174019525755,-0.170237733926284,0.0746672262408371,-0.0585932965789182,-0.51413512994836,-0.302565524683082
healthy,0.0692047086429434,0.480431103667451,0.264861507422884,-0.265953996468432,-0.315641473740771,0.477464332822722,0.2075685314776,0.457307363389986
healthy,0.286311487158001,0.264823709626839,0.230114860149133,-0.0524353029697374,-0.170456985108944,0.316516497937052,0.413073374437317,0.243582914025327
moderate,0.155411424915986,-0.201534984329258,-0.16668218859291,-0.0632289450351651,-0.257747693280106,0.139192805311903,0.0419061787546379,-0.229746787318271
moderate,-0.0557912302960789,-0.0220152985990567,0.0018329277816961,0.463376305191864,0.673689275286551,-0.356378301377703,-0.523880376523407,0.101345213209123
moderate,0.21840911641149,-0.157068435198085,-0.105527884228419,-0.518390589601745,-0.455689530047005,0.206888631630207,0.494378048023743,-0.111373195655294
severe,0.108635701696039,-0.292154099992024,-0.191334318159692,-0.359571869498158,-0.317292218111548,0.0291399322768684,0.293536360609639,-0.229485359133505
severe,0.408035762962105,-0.0556904595592909,-0.0489313090422447,-0.035137852096759,-0.362051167060555,-0.0992283077880973,0.111295359069023,0.0276185625867927
severe,0.280607225525496,0.224366984586753,0.102870364625905,-0.0167492297524418,-0.168709629409126,0.495773605132675,0.261061849600207,0.137184416196554
severe,-0.285832160345572,0.145574082677789,0.493945365204335,0.375278965064749,0.387167275800246,-0.40261476245144,-0.336045636375562,0.341674288495686
