group,CD28,CD95,CD45RO,CD45RA,CD27,CD38,CD127
healthy,0.132234507126924,0.535944854160413,0.576668288114624,-0.202138697607063,-0.293996741408327,-0.14956829163994,-0.118275315572685
healthy,0.27705097120604,0.408140999070909,0.802937558039221,-0.365804130204222,-0.454549618394033,-0.188851486807905,0.138812472113696
healthy,-0.0726250429399419,0.310041997520349,0.474108713733601,-0.11702888907941,-0.544040055865349,-0.215625506430069,0.161325196721589
healthy,0.382705309408303,0.518246534267826,0.519145466450429,-0.49851612099204,-0.439500644778766,-0.388366217787315,0.664198901660898
healthy,0.320241534427469,0.509988240580481,0.647473026649465,-0.472492548433229,-0.357895274927078,-0.475838178091704,0.388479796688559
moderate,0.035036606051595,0.393460949179342,0.317641236441488,-0.352297207478315,-0.613960485989694,-0.193279401002705,-0.215818469021539
moderate,0.0981019728177341,0.537773093408098,0.69933897042952,-0.3529818248748,-0.573010410920961,-0.0671005688514353,0.0526684046509928
moderate,0.28543959013987,0.736073038094219,0.585062562583122,-0.327534496856863,-0.411754848433926,-0.136335249465596,0.0631131336230086
severe,0.60343995729908,0.599322435336229,0.590532759010572,-0.229645563637515,-0.116546643408519,-0.0306937371552743,0.228161779940719
severe,-0.0059802530330217,0.0382529867545018,0.39108957032572,-0.006991602513611,0.135840827109363,-0.0423193042274062,0.0227787333085097
severe,-0.0505917895562827,-0.0443389051583085,0.0151538905756084,0.21057087201406,0.274022679014895,0.0556590164818965,0.0994359348230684
severe,0.12633855620433,0.474364494502252,0.329440821277141,-0.341410272336538,-0.387159450794319,0.150394274021826,-0.196073334369043
