group,CD27,CD95,CD45RO,CD45RA,CD95,CD45RO,CD27
healthy,0.470691630814264,0.507020404621228,0.606889856959417,-0.352042822371762,0.478726215235022,0.60599524611166,-0.470786708945279
healthy,0.161695272642137,0.401856205274326,0.749856375848728,-0.317225046736444,0.385978327998442,0.681251615133022,-0.445643526832768
healthy,0.717761825503007,0.274147572878038,0.394062272519751,-0.159019935075135,0.397032457487739,0.432945203350519,0.16098110133853
healthy,-0.0300278031403646,0.736426442438742,0.673913094301145,-0.651089505589615,-0.774456586096777,-0.707151631622197,0.6568612716429
healthy,-0.328019072167397,0.660062358656642,0.578194889615006,-0.529650533816869,-0.585628120068113,-0.537736777691689,0.630914756004979
moderate,0.446978061704151,0.487987578210887,0.536574666630174,-0.512505693934359,0.657922189165083,0.713809668559592,-0.475899005944612
moderate,0.199854714381897,0.434497478467993,0.536234260110211,-0.368758655561808,0.660209959505806,0.725709399981966,-0.17405271732481
moderate,0.247570076745846,0.608006928832571,0.492169239869251,-0.512766007299251,0.665223910057268,0.561544862924911,-0.435356663027576
severe,0.465467660519536,0.522303803403869,0.692129008203344,-0.496407970161082,0.162402344145998,0.386422532089836,-0.331655496400533
severe,0.116873441967484,0.180139914921604,0.690615169782512,-0.15751031666341,0.119033982044357,-0.253103259599241,0.154783856628026
severe,-0.331787241288132,0.552820504147076,0.431471243982059,-0.163585364820433,0.357813035472189,0.0760529029909995,-0.12846596770308
severe,-0.0234647841156863,0.323974443131806,0.161537335189705,-0.30919122925474,0.471411736659464,0.519431939083242,-0.231300399473999
