group,CD3,CD4,CD95,CD45RO,CD45RA,CD27
healthy,0.442960095050681,0.227204472110367,-0.426606885407737,-0.470406947392623,0.249492675871263,0.435547921051794
healthy,0.478058113689657,0.238268246432315,-0.355841552914553,-0.619133695522107,0.255733656878458,0.443253524636123
healthy,0.258037404122364,0.296066869647401,-0.481234229313288,-0.464158089511037,0.0903582618268411,0.506976035603757
healthy,0.368895297311228,-0.249508952960449,-0.412580211269271,-0.26217993403284,0.327959810429083,0.419115033679219
healthy,0.0272208852559934,-0.0359248864980825,-0.0535691968209908,-0.0047713300392622,0.230068071942406,0.433444712629771
moderate,0.196314413480626,-0.0936911050960004,-0.341183689891694,-0.516098235057319,0.353222251149333,0.35340799847532
moderate,0.366649362583383,0.444475365086299,-0.0006247731854245,0.0270898931805771,0.180749054566374,0.234218634758515
moderate,0.285685161375515,0.0877023433249109,-0.604236007641679,-0.512325858054162,0.368963005088077,0.51040928577734
severe,0.425908077862852,0.143605633957276,-0.349297538947863,-0.529177442691806,0.489925546126122,0.559630483854255
severe,0.45289500167487,0.164668642819652,-0.0397769154161107,-0.207940442471075,0.148702229660149,0.250999536425153
severe,0.179627287289678,0.146589975307237,-0.222626823393992,-0.138897427792687,0.271723989513335,0.295586783366518
severe,0.197484790266542,-0.153151410149357,-0.630849654666842,-0.548833029838802,0.615515539311611,0.395826088323539
