group,CD28,CD95,CD45RO,CD45RA,CD27,CD38
healthy,0.137163836053165,0.556685018614191,0.640060668469868,-0.250011910626394,-0.360740473869309,-0.150752928882283
healthy,0.245643777767574,0.395901524695936,0.778167839658547,-0.353094428720449,-0.45888419808929,-0.160408012090438
healthy,-0.150888398985775,0.337461707619596,0.487656356534174,-0.11884545550699,-0.780627599797282,-0.29419341441796
healthy,0.387793580918039,0.776591283951994,0.72655059560323,-0.67548925737467,-0.5898312950234,-0.398048447760404
healthy,0.320379693142712,0.658971645756578,0.666920942061842,-0.637559787246955,-0.496663742499678,-0.542568719619145
moderate,0.128924263452464,0.41648273743899,0.508615872529184,-0.480442329413503,-0.55644964311381,-0.13009317196538
moderate,0.0458352112019523,0.433674919131195,0.511423305424788,-0.332448005384948,-0.502054768904975,-0.0267180528838911
moderate,0.278978211183094,0.705374336182265,0.645040915883998,-0.466590619991694,-0.494542646557614,-0.143552522922607
severe,0.500698800903902,0.555426233885622,0.707659923976094,-0.455322040689024,-0.448810104620873,-0.0526213854460925
severe,0.290517566765158,0.401192373728153,0.500007558461799,-0.161466811158667,0.0759801892928529,0.0541450137885224
severe,-0.0116141558567709,0.0931134907704112,0.341225370733732,-0.403505503458132,-0.263325419025296,-0.0108791414607338
severe,0.434410377916436,0.656668714292978,0.657086053880864,-0.627167710649571,-0.470700334422369,-0.285581114416767
