group,CD45RO,CD27,CD25,CD95,CD45RO,CD27
healthy,-0.652940888157438,0.375896378465912,-0.199249609488317,0.609824272904443,0.685231674638277,-0.413217757088184
healthy,-0.374098902169684,0.511734407144799,-0.10004356879931,0.403381849171586,0.731161535879598,-0.463575798156612
healthy,-0.482355884964087,0.796950494648625,-0.0553444911292974,0.477933824110304,0.697036972417879,-0.77735268554058
healthy,-0.386898193802246,0.428486208983576,-0.650474611145607,0.779816796639767,0.681362674836216,-0.64686483651609
healthy,0.114778576118435,-0.0804732757577472,-0.309710706474651,0.744361722935335,0.55988513707548,-0.597195165634007
moderate,-0.3538123509529,0.634304812761415,0.0519796806236837,0.725523633311611,0.734089346675917,-0.404822846021412
moderate,0.0542618949900786,0.516120907049487,0.257963084763492,0.50601563504486,0.66564731108121,-0.546745333487619
moderate,-0.251372964700395,0.100256770262122,-0.257940714368176,0.635948037284716,0.519378325457949,-0.529208689061301
severe,-0.196100331509549,0.632422605492293,0.186727862066999,0.588596000567881,0.741047314015404,-0.411468685482817
severe,0.271889523051731,-0.0612311658328248,0.103287628490018,-0.0202575935639529,0.405759581530099,0.0367677972111393
severe,-0.0634893127202799,0.15409643030377,-0.101850572737027,0.0503676303994849,0.0113751157130494,-0.1092056135783
severe,0.320653659905948,0.110552021972757,-0.20964575741528,0.705978628679746,0.673527470984265,-0.342737574821659
