group,CD28,CD95,CD45RO,CD45RA,CD27,CD38,Anti-PE
healthy,-0.045965171603519,-0.315670963198663,-0.378355144083994,0.326248661735344,0.407801355407344,0.224775249443016,0.148529827769008
healthy,0.0692937373836146,-0.270183824188095,-0.484101708800477,0.18804834616288,0.410514046916438,0.0223936963592534,-0.110495419477197
healthy,0.232532278515503,-0.182310543707472,-0.320613179288448,0.0555461018399447,0.737399174870866,0.2631801050578,0.0537749413144916
healthy,0.370977063227603,0.622792337332377,0.667541859374815,-0.676382315848913,-0.457010014235447,-0.468813819529161,-0.0638575214929452
healthy,0.181296165174686,0.384135151057923,0.647317206379384,-0.677977243384728,-0.443927621230217,-0.680411518908999,-0.1549107825799
moderate,0.0175481926445968,-0.246941148630776,-0.38359314858398,0.395269797489921,0.534418907668722,0.0344448092797727,0.0842825909394018
moderate,0.369495477330093,0.440553845052751,0.38063327024959,-0.170756585291295,-0.029376399946631,0.0370181018770622,-0.0683179698851909
moderate,0.179732007028964,0.357196465725657,0.300533685704166,-0.437335493764536,-0.331661068051841,-0.169867999046851,-0.122018610330376
severe,0.374561805778507,0.274340888840551,0.280336834994552,-0.252760792686667,0.0486393420132378,-0.0705843356705031,-0.0205751899269815
severe,0.0470988920166981,0.183904372892131,-0.105617158795204,-0.0038926280424561,0.0025357268382356,0.11595061198027,-0.54794045281566
severe,0.337263305398777,0.363954511506441,0.192107703173138,-0.374946110830544,-0.0629121354805483,0.0749321285998515,0.0246330722019159
severe,0.500789968840907,0.581836776944857,0.649620230336981,-0.55670571158396,-0.348458547171479,-0.353290036329295,-0.111397792023446
