group,CD3,CD69,CD28,CD95,CD197,CD45RO,CD45RA,CD27
healthy,-0.265444974737363,0.0177798758069437,0.234256798890536,0.572547635954645,-0.0947025102460149,0.674968413879123,-0.346261210951206,-0.396163703292822
healthy,-0.293012595691197,0.024264201177766,0.230964166854473,0.359218356963374,-0.107981875948422,0.717283839012533,-0.278594268327367,-0.367309372065135
healthy,-0.382771276650235,0.051774174331663,-0.0953009518239943,0.29391134905536,-0.247815126173713,0.506104468777814,-0.165374194263944,-0.746432437915472
healthy,-0.219095475698268,-0.101046776132977,-0.0267046921242528,-0.0438562292086978,-0.108026835267096,-0.0774457479122722,0.0384443863926241,-0.273420971212853
healthy,-0.454341154720497,0.0606493318334417,0.140318429960951,0.760248135730839,-0.328516098939326,0.571925476454809,-0.478312796926751,-0.537083518479175
moderate,0.256641101546186,0.151047804054282,0.510604485573196,0.680438597543567,0.0919828507335118,0.660468706312524,-0.3062360672199,-0.131731145048518
moderate,0.12657316740039,0.0585473433518418,0.220843737001108,0.533696677782493,0.0474256134128143,0.656550180508904,-0.174602119971104,-0.17776944277353
moderate,-0.0968508924942169,0.0633916376865366,0.40944884434696,0.693982481787094,-0.081334800773083,0.673624014160169,-0.587937836954576,-0.291171294153886
severe,-0.0646721178224128,0.106211780669849,0.528667898167283,0.634737226558263,0.014580191400262,0.793154899240871,-0.360108679509063,-0.229729128888213
severe,-0.0541625896090064,0.2541051956238,0.0254854161029844,0.369977954649608,0.114032082865754,0.449096187736308,0.0505003009266669,0.0049512885155727
severe,0.102702516343504,-0.220154467982082,-0.0198580335725926,-0.39872076724229,-0.472222111772267,-0.0648786153482837,0.0115681623376028,0.0482491984143401
severe,0.340979363671168,-0.455460120322622,0.155127798692109,-0.0708714484843427,-0.0173684501758684,0.0677420057775648,-0.0320455876268359,0.127111454162821
