group,CD3,CD69,CD28,CD95,CD45RO,CD45RA,CD27
healthy,-0.0423136115160552,-0.177850843134801,-0.130893723968775,0.0964174687946635,0.072114452119236,-0.230919461118463,-0.315620714818285
healthy,0.146705241115677,-0.0520554062453199,0.188639767624125,-0.0466336861588804,-0.0278760547269028,-0.0411293285182908,0.0686065776321602
healthy,-0.385665200889248,-0.0378691827425288,-0.28700307776162,-0.0455905406477298,0.199892250157145,-0.114511010281297,-0.571459818100861
healthy,-0.284250847417775,-0.144763206466415,-0.197143215259567,-0.0258813610204562,-0.109646911569684,-0.0030824686698154,-0.211283200004109
healthy,-0.459568849437512,0.0366293021622043,-0.0151368925815501,0.587980821591638,0.332173315964772,-0.306467708625757,-0.533388445342239
moderate,-0.0241494032057662,-0.177597809594136,-0.272194012436607,-0.368841678159144,-0.62434594863243,0.408672439165276,0.217086612933188
moderate,-0.271713116914314,-0.109580138222051,0.139471737460787,0.0196727817726448,0.0689764455767681,-0.157451143223741,-0.0364971262621547
moderate,0.0852578134990753,-0.134676900110857,-0.294409513742769,-0.573534194744271,-0.750636879180548,0.389706702378864,0.210410127922729
severe,-0.11608345945682,-0.104719054237699,0.457735306065794,0.401132512692175,0.511453369627841,-0.506477640329939,-0.332534032516958
severe,-0.0403055000564039,0.0028308064672108,0.208601241851897,0.0552555540877211,0.100255292260792,0.157899643979224,0.149540623224901
severe,-0.14966197146196,-0.247877302569915,-0.305453935238887,-0.500630961678741,-0.387181400227606,-0.127960504219268,-0.0703034168801429
severe,-0.385085773387993,0.534723954466345,-0.350652128510252,-0.350186567101091,-0.407740773574924,0.409164486675645,0.161211088612172
