group,CD3,CD28,CD95,CD45RO,CD45RA,CD27
healthy,-0.345574138865783,0.120316851695547,0.559128723064676,0.625384086302528,-0.289555211792983,-0.447386000301578
healthy,-0.431977039109636,0.209239790263941,0.407426489252374,0.751470015737576,-0.320074255973974,-0.467439785538603
healthy,-0.357746553304873,-0.15882191742539,0.305762548069963,0.464457926343125,-0.126540234234898,-0.780239451064835
healthy,-0.433998390855544,0.320334565943309,0.786293802727147,0.667920353180573,-0.597492075461467,-0.542672588190496
healthy,-0.424963903150116,0.176155703527704,0.736628979452118,0.552916883763342,-0.480174220940929,-0.566640598371107
moderate,-0.262654557853032,0.085004391224083,0.431417374606636,0.465243990878786,-0.430828202555541,-0.597638207671121
moderate,-0.246912593736089,0.0419752681034822,0.474427409943644,0.593844011324275,-0.346623089880948,-0.550705674618604
moderate,-0.258374667770005,0.266519174676878,0.699330018498309,0.583788586871816,-0.459088070140757,-0.51742175515818
severe,-0.274031309723593,0.505541172626183,0.568010914343305,0.716211546431028,-0.449026667826164,-0.447052235210867
severe,-0.370301748010411,0.168329221487765,0.305525459552827,0.533401892029125,-0.13126684932431,-0.12547146084917
severe,-0.148965061038816,0.213862039265661,0.405567509431332,0.278007901332991,-0.257875446126579,-0.225335158470386
severe,-0.296458865957066,0.284942452034562,0.654934097768767,0.4798720707068,-0.504687722209436,-0.467825347314091
