group,CD3,CD95,CD45RO,CD45RA,CD27,CD127
healthy,0.371327155246928,-0.471195078955649,-0.527735334022907,0.292470038682722,0.448724077422675,0.225494648974808
healthy,0.424310878109796,-0.351208245401882,-0.643015120339967,0.280209134702117,0.429506109919427,-0.0562911422658898
healthy,0.369892020435081,-0.235552229394874,-0.349194108999734,0.101277682560059,0.636855232177146,0.10417153235467
healthy,0.428064529493563,-0.626603138035378,-0.507340684356918,0.450837792461888,0.503502329527304,0.325746596541676
healthy,0.426577763561465,-0.618995628228636,-0.458455738774051,0.404278438973565,0.482917807847486,0.376146737912197
moderate,0.388917708487964,-0.136995349278913,-0.194688440732975,0.326087772942906,0.525861325194691,0.426064815812205
moderate,0.313210597107275,-0.393258974056974,-0.484701677139626,0.340210011117725,0.532969871531082,0.137901257235469
moderate,0.31926621947971,-0.460127096801127,-0.349057785317276,0.30145845243622,0.478629264762995,0.159918986140404
severe,0.389407906177158,-0.401524653019869,-0.576829045869139,0.521405622927646,0.53760464321535,0.0829839351356607
severe,0.383900464842645,-0.188309421059901,-0.553867842572958,0.094993445874822,0.126169547851007,0.279631770244842
severe,0.107075003189849,-0.333690332213797,-0.216628734200391,0.176388841799955,0.240802475465259,0.0047119437455785
severe,0.373424555944598,-0.573706993111699,-0.431554879785502,0.468242795551494,0.474899379762831,0.164533750377785
