group,CD95,CD45RO,CD45RA,CD27,CD69,CD28,CD45RO,CD45RA
healthy,-0.467116999390221,-0.532835288950665,0.312847592082728,0.477904356075266,-0.0921522580575787,-0.0426218709737232,0.445492537691837,-0.259305561069555
healthy,-0.290891386153048,-0.480460055655603,0.205013350751243,0.414457988532059,-0.0306338185677487,0.163319351184134,0.535672186083297,-0.250078693764046
healthy,-0.115412728747096,-0.201448787977419,0.071108444379952,0.51877550546005,-0.030766001618522,-0.276951130368571,0.0298464395014866,-0.0260584489374521
healthy,-0.566517245353525,-0.448793814032249,0.395278832298105,0.483260548306919,-0.145265816723645,-0.19357710044243,-0.361875543589859,0.133909831387929
healthy,-0.573855405377797,-0.394976538666762,0.37689356479006,0.41177223892556,-0.127441093006179,-0.134765519972428,0.0261676280473471,-0.0654162818021489
moderate,-0.570260520672771,-0.538289619905112,0.437714133907839,0.631420985546867,-0.0662500687224187,-0.519400507755911,-0.64640894481379,0.503037972282188
moderate,-0.432308507768394,-0.543436387539861,0.36459564307894,0.52423189653493,-0.088827856165927,-0.299937835433366,-0.465296199832678,0.0413550827594093
moderate,-0.518627271779674,-0.362978722832378,0.301051843302859,0.51747079145629,-0.0417656587663416,0.0280585576740747,0.0945718120432288,-0.154961718517674
severe,-0.322410976819385,-0.505552672070527,0.533897133281631,0.50622163092894,-0.194048310530428,-0.300740100249532,-0.152010235779208,-0.200855089003595
severe,-0.13283133425029,-0.595779318541451,0.0324309331515302,0.109703856193069,-0.125057886322765,-0.147104182721005,-0.150090699360372,-0.123025173892358
severe,0.0164677352351285,0.0378974022792017,0.183994950941656,0.270326961925741,-0.112982236727123,0.0787545615842659,0.136001074671868,-0.311668325495886
severe,-0.291184572421591,-0.179942781141202,0.231353438812181,0.396115510551493,-0.507332397625102,0.194725280176704,0.228740265270942,-0.239927269973089
