group,CD3,CD95,CD45RO,CD45RA,CD14,CD27,CD25,CD127
healthy,0.467496343313479,-0.0906518943724969,-0.104224827650798,0.0875772501503481,-0.0716285672021941,0.198551986697925,-0.0001530882751383,0.345723857717389
healthy,0.380440465002283,-0.0547983381244293,0.0085502467138673,-0.0316579713767494,-0.169885927371284,0.162689611843858,-0.117980776347819,0.199337555307686
healthy,-0.339561741676762,0.288664319651448,0.660140624693101,-0.28780799563352,-0.0218813044055052,-0.70399173462325,-0.140491797306878,0.371161479560783
healthy,-0.216893007491802,0.427792249979264,0.444870036184859,-0.440748237774831,0.0100012010935367,-0.399374847360176,0.136415545350927,0.688815371235095
healthy,-0.0662573666314941,0.339256611231626,0.435484226073265,-0.306481809337747,0.116297173529306,-0.168666652526737,0.160603722277868,0.547177562830661
moderate,0.418938068069095,0.214316171825479,0.0773646872174643,0.179328285006043,0.0450425280707794,0.306258520708849,0.0451964076197602,0.463281826908772
moderate,0.411102741231927,-0.180868499439058,-0.0733176489629902,0.125560392760131,-0.0674480645615317,0.0324438179824947,-0.0441830414414512,0.373922431247728
moderate,0.198355465707499,0.146518265374821,0.21766351511815,-0.202171650049831,0.0143736568552695,0.116361829267495,0.0964429446629909,0.30385749928582
severe,0.446095000674602,-0.20121680576835,-0.374646395558746,0.461830047377708,0.0422594010798875,0.559122353757773,0.15007130971014,0.185237152670745
severe,-0.0714118681380609,0.0206631982634451,0.448162381336788,-0.0296806437080431,0.513432519330022,0.0700104808767256,-0.0146216489989977,-0.0668229817748656
severe,-0.0985848812710918,0.258005482691147,0.211298008881003,-0.432975337035318,-0.237802468404523,-0.129437945880889,0.0429034257462899,-0.0167530666830791
severe,-0.295146270367497,0.504249210834168,0.420512388024088,-0.448109916740229,0.092551537449211,-0.51090929783808,0.499940028379196,-0.0139434326315476
