group,CD3,CD28,CD95,CD45RO,CD45RA,CD16,CD27,TCR-G-D
healthy,-0.320965822287838,0.121329993964822,0.579939033313192,0.646158410063445,-0.267231750587442,0.068896598225762,-0.417771487040461,-0.0080957998294292
healthy,-0.431908451249115,0.19208838206454,0.389318280320187,0.70806393015359,-0.301265122714466,0.0214792241690564,-0.451746165250993,-0.0006029545822906
healthy,-0.322413125322274,-0.2094070060764,0.318585691316867,0.487631907286246,-0.0979058840598645,0.0085908877318757,-0.831800913476184,0.0157867345327563
healthy,-0.47580466760286,0.341360319587297,0.794749183573385,0.699996123193374,-0.626297376500453,0.0757901241573777,-0.683277726376265,0.0170037271926217
healthy,-0.437223768816177,0.158031613710361,0.687662273018871,0.580628559813899,-0.502838644864039,0.0164057316251177,-0.554946117041392,-0.0615583435009351
moderate,-0.226011368600221,0.0623772606215958,0.445078981773352,0.466223920317679,-0.295339247800791,0.143089270062595,-0.490176629844887,0.075174010485821
moderate,-0.182270398476135,-0.0579406776167773,0.407815994190842,0.55323901714563,-0.317175757403309,-0.0391024748849018,-0.657356108710975,0.0655419093888278
moderate,-0.275390438622143,0.246123102974111,0.66280113840112,0.551644277403598,-0.446052730017184,0.0100685759565458,-0.514309618752539,-0.016605740332028
severe,-0.324933202867208,0.451005177227693,0.513550345235076,0.675668972769494,-0.494546978657698,-0.0047241147779397,-0.484989216022083,-0.0284177704680966
severe,-0.390657620233366,0.154696950393998,0.219106267836178,0.56399820264562,-0.120648245151485,0.0371694996072308,-0.118909152699967,0.13256876938654
severe,-0.158901837065563,0.113379276156724,-0.0995335545851133,-0.263937413290422,-0.36487380388999,-0.582366831934029,-0.236539032675266,-0.466332486706972
severe,-0.197154190758365,0.475324792252305,0.729752045070506,0.719321975631355,-0.582253973377092,0.0400387396382104,-0.381607755407036,0.0299690654731684
