group,CD3,CD4,CD28,CD95,CD45RO,CD45RA,CD27
healthy,-0.154398932874511,0.0218543310708331,0.134691042393279,0.607974361554662,0.663671068791981,-0.143780753889275,-0.225611598703496
healthy,-0.420417525412644,-0.102164755235827,0.277703944952386,0.411592294739144,0.79585960854856,-0.347986295783551,-0.450224215467284
healthy,-0.254628894491791,0.0573771591415512,0.0453036337888239,0.545452414728661,0.707405864707894,-0.206531267615373,-0.67873856556
healthy,-0.31335397342307,-0.0723553589167244,0.351421120819741,0.804980201861116,0.708556774413192,-0.539174000949794,-0.381812877411842
healthy,0.242712199005816,0.24986721823235,0.267497356662545,0.268900521339686,0.191299084428214,-0.0857932564016566,0.329474535466372
moderate,0.194776189452887,0.190574601351487,0.24512989427145,0.329695507455043,0.301518915366072,0.0407694146388409,0.0981881162482263
moderate,0.122877976452189,0.193420398742469,-0.0140537843637711,0.347684436398549,0.464427867400713,-0.135867562650142,-0.48726825288129
moderate,0.202191444043127,0.369200929711687,0.163878906156173,0.28005018463312,0.281949194368021,-0.0960961872083291,0.0066952745384114
severe,0.0539956344616105,0.218071266349365,0.447432735419121,0.455833407666861,0.43251932912498,-0.150777712629004,-0.302343198664279
severe,-0.0352909108059207,-0.0411614331055573,0.0408002690527569,-0.0029982079441331,-0.0235987464851401,0.143599364592892,0.14319428977428
severe,0.174977960259907,-0.127375968302859,-0.244053247751888,-0.429610965863655,-0.319058075234982,0.285680875067473,0.199457958246754
severe,0.476207868493602,0.472795950621981,0.526898956893922,0.58566531169116,0.576365799781745,-0.265677964836428,0.0983327676006187
