group,CD3,CD95,CD45RO,CD45RA,CD14,CD86,CD27,Anti-PE
healthy,-0.201235230034713,0.463412791656427,0.503816540371166,-0.33290095002299,-0.184996824441465,-0.132058369396175,-0.466881085831328,-0.125563889060921
healthy,-0.299249934158548,0.278883132260423,0.53220547785271,-0.247801187781515,-0.0848739441307819,-0.083763539905537,-0.352111257567911,-0.0813253106656095
healthy,-0.37311169271507,0.414557498396196,0.634647185446194,-0.254900747475103,-0.0130458584367651,-0.0459240149369014,-0.653474116869424,-0.066402370784087
healthy,-0.401440739218368,0.739030094580456,0.629635852796988,-0.520554543046423,0.0376660209809703,-0.100242463437061,-0.494632872766729,0.0884327785967707
healthy,-0.410913416195199,0.728711894552369,0.539024907883632,-0.411916755869159,0.111314422892389,0.0740385748217055,-0.457093699458714,0.0029193961037659
moderate,-0.271937658257035,0.156123806612979,0.069366569659846,-0.227997048783468,-0.0277923084504473,-0.104952571269334,-0.492324828510546,-0.237797030384915
moderate,-0.174446688362507,0.495388168843137,0.668601469551936,-0.381244641202298,-0.0881167655515352,-0.0659697952498838,-0.507943135620928,-0.0646376417364998
moderate,-0.317362539088376,0.257598992326449,0.186763043598966,-0.263282896977295,-0.122111598919507,-0.0504915760351371,-0.385623152702175,0.0199492886507156
severe,-0.30647267277912,0.284756334412823,0.464068266911733,-0.542864920333011,-0.125079756430445,-0.115627192173908,-0.477968500273641,-0.147485715640019
severe,-0.253237804171025,-0.0019491020088836,-0.0227306008750561,-0.148687069441555,-0.392579385346751,-0.427629417203559,-0.349502064076265,-0.427854840283874
severe,-0.15429816652495,0.297705388801363,0.194174628727431,-0.536289144248761,-0.451958878501042,-0.187156330732097,-0.333469029370703,-0.203494220205654
severe,-0.375393169791599,0.473524569424264,0.311760533402722,-0.352310741212616,0.184423928527535,0.188154834367965,-0.470600095322553,0.228698394035903
