group,CD95,CD27,CD95,CD45RO,CD27,CD127
healthy,0.417504029842859,-0.501199171562497,-0.457166564598815,-0.64626837359996,0.396587489044993,0.149371907017965
healthy,0.347975079471125,-0.421873778446792,0.371731244667698,-0.734766412324017,0.443195799545768,-0.147976627009221
healthy,0.307474259053605,-0.730009129219919,0.0025061494636814,-0.586422691539476,0.780238460684648,-0.0557793694043142
healthy,0.7262357585779,-0.629508963529386,-0.557019864307976,0.0903333439181439,-0.0664107340624924,0.741573203385987
healthy,0.556509660573536,-0.579957308110142,-0.707010696766889,-0.427360264212683,0.431453655985038,0.416060876874266
moderate,0.102490947929197,-0.502700023334614,0.673691155326716,0.158638397399235,0.486456538667062,0.348460889498786
moderate,0.424077789082114,-0.566607691724027,-0.419234897198139,-0.458507527575411,0.679968114388606,0.0550692379738924
moderate,0.704613046134235,-0.47692142057624,-0.266043650663744,-0.499507924398368,0.492725396551931,0.0402657160213899
severe,0.456261596874523,-0.517733267620541,-0.423571682406639,-0.687496216070449,0.456431282337334,-0.0142751014077989
severe,0.386174811212145,-0.0649803188528584,-0.275800521846819,-0.562677385731023,0.0347543452601378,0.292079758220076
severe,-0.166586007567589,-0.237060008089653,-0.372141565361887,-0.220257995237204,0.160194898226373,0.13396351063466
severe,0.241527518350596,-0.3430707235145,-0.591915989801073,-0.146514194800679,0.308173202232702,0.212936794355872
