group,CD28,CD95,CD45RO,CD45RA,CD27,CD38
healthy,0.139152969731422,0.505737981840979,0.609805481176077,-0.351892235274836,-0.471603618605441,-0.246964394029921
healthy,-0.161714109305481,0.169846425426042,0.188409972200129,-0.0341409832637289,-0.27410035059936,0.0598956243269106
healthy,-0.079580727683057,0.270104767307211,0.375602072285024,-0.120474461649427,-0.611763559325353,-0.24028361256087
healthy,0.362224088709291,0.741793932981973,0.688736316701216,-0.69095366628196,-0.641292166806495,-0.469150916202772
healthy,0.227637846708454,0.576174552724706,0.641591564211454,-0.648889808507085,-0.523887885410954,-0.637541818683189
moderate,0.500343795494713,0.706236475147407,0.773646002263392,-0.516498100528191,-0.317314280383973,-0.132419013793921
moderate,-0.141680792594457,0.294279854041063,0.521437133505526,-0.387484661287888,-0.651405585118407,-0.193089674395552
moderate,0.213722331714133,0.566923621869566,0.508179051738265,-0.509043087570237,-0.503182894849116,-0.246634222364876
severe,0.438228271392886,0.511141419394988,0.680621989969868,-0.501600193670624,-0.462701315117012,-0.0964623902185242
severe,0.236764549458006,0.274628181947848,0.589520519154295,-0.146818814418195,-0.0553254917373374,0.107495656352416
severe,0.270758726191702,0.394674130569761,0.36845735162904,-0.403796300559019,-0.229096264849088,0.074257649970798
severe,0.260954853521021,0.610764723331404,0.516687662224942,-0.544549807106853,-0.453311963272619,0.0714022538409803
