group,CD3,CD20,CD28,CD95,CD45RO,CD45RA,CD27,CD38
healthy,0.216301067123392,-0.077065737168401,-0.224554613895629,-0.595401110006165,-0.689421578049491,0.296348635924173,0.346733225870925,0.174336372351026
healthy,0.444832856230858,0.109657997812254,-0.0559912903930235,-0.338255593487727,-0.585782697973239,0.237594721717445,0.441965242936747,0.0790546031780766
healthy,0.115044029248997,-0.0875930529709572,0.0514620970762102,-0.335336653213266,-0.508982557300865,0.109702766100746,0.577676322116961,0.231278639480683
healthy,0.444493847072166,-0.0492816937321389,-0.395278879981477,-0.829020521707882,-0.785171267909159,0.659932774045625,0.608536395536809,0.371991969995821
healthy,0.471637991675947,0.0221252389234802,-0.21531873634173,-0.734990135894558,-0.690401613181689,0.585544213395481,0.601865724181268,0.497169502580354
moderate,0.191928026899671,-0.104555716199664,-0.0452172501483911,-0.439071853892582,-0.447459832286008,0.287371027095774,0.533833875016315,-0.0928675525220281
moderate,0.207066844479414,-0.114953767464723,-0.169393827271921,-0.601927588840185,-0.664196142323629,0.27870725983404,0.466079946092824,-0.0401946598328266
moderate,0.215542997615532,-0.175183981545328,-0.115498770402246,-0.512814594881837,-0.28449585519653,0.127229547301664,0.502143089585405,-0.0085787543792816
severe,0.425358766826274,-0.13296695890543,-0.223027150791253,-0.347075512323685,-0.525465303523942,0.453553343709067,0.575330418973544,0.0783956894382955
severe,0.224568580265906,-0.585821556630926,-0.0160649273407725,-0.125392983951867,-0.522370232499496,0.0530720546043685,0.0800245131107983,-0.0928360871382087
severe,-0.0973434523183841,0.016553512687104,0.207469062031602,0.338399092946615,0.0462753690338499,-0.185012970009501,-0.194708220810428,0.0192354881400078
severe,0.0768569313218204,0.0406078214649458,-0.491996059857684,-0.684836199064988,-0.807277958624759,0.651110791570413,0.351585008049692,0.207883877227391
