group,CD19,CD95,CD45RO,CD45RA,CD27,TCR-Va7-2
healthy,0.0945571977832697,0.4788600302742,0.60416184578032,-0.271546547220349,-0.352604977533888,0.0254888378624416
healthy,0.0216077526278298,0.386403401127845,0.64601597180075,-0.258793995187817,-0.465114910204922,0.0390206385889878
healthy,-0.0577228947919514,0.262244507742521,-0.0282706927060159,-0.0224744433572082,0.311754728821803,0.292983463550854
healthy,0.0196545092052741,0.602600065835386,0.521672704490722,-0.435606224483398,-0.441112462622262,0.130674429294451
healthy,-0.0812937559303059,0.497833770771793,0.488387156919541,-0.525287577818802,-0.537349415402009,0.01601062666169
moderate,-0.0077828003412184,0.23599206872432,0.0708956689545194,-0.146615209918523,-0.644064355638636,-0.11598453458466
moderate,0.0073941437008776,-0.169802303412602,-0.351939525009696,0.0826370749281679,0.358391059035083,-0.118666523125317
moderate,0.105736373497654,0.531012200592937,0.369877537838351,-0.305834270988109,-0.429546598400818,0.0950503722680057
severe,0.525749114472465,0.136009249562294,0.138777237921457,0.0961062684862628,-0.250309546668686,0.51479380907777
severe,0.116426220147656,-0.104576147544675,0.389782661854206,-0.151107382212235,-0.106403588599587,0.0075199373959518
severe,0.0316972178271712,-0.585087425138714,-0.361546727916039,0.259236828875819,0.100117113446031,0.0090067999107209
severe,0.438112536672737,-0.482781354087168,-0.515232012380579,0.277209153698384,0.0660804924184854,0.236572467470344
