group,CD3,CD28,CD95,CD45RO,CD45RA,CD27,CD38
healthy,0.313670647030137,-0.0773410192045183,-0.564773440087636,-0.611033725585001,0.245310363532505,0.439498318824589,0.172717199331698
healthy,0.455091564582403,-0.1779330445326,-0.397841511472678,-0.726049666010634,0.317637516992287,0.479241816662351,0.121493405169942
healthy,0.314541474843653,0.1219603268146,-0.428294339952878,-0.551154680872806,0.128993325332686,0.795191814985311,0.280084932129291
healthy,0.430793091327161,-0.29560802901156,-0.803875119578319,-0.659445979205811,0.548829589678209,0.563293097446866,0.254863697167163
healthy,0.349946995203741,-0.277175125748512,-0.783669935439912,-0.600122374221673,0.462907857235299,0.454055307319566,0.319216469341238
moderate,0.222075687779649,-0.0163474518695688,-0.42153801800339,-0.426261425545878,0.261783376702389,0.498222563908848,-0.0981239887483273
moderate,0.2303015221607,0.0649894231653286,-0.361630846456712,-0.383500285428011,0.210254197222881,0.495622947793879,-0.0964591385745497
moderate,0.207514030202903,-0.183615522324565,-0.628049293079434,-0.460470456231661,0.248094299500922,0.507756276302583,0.0255956498000011
severe,0.262691130208059,-0.469373120122689,-0.535705356654994,-0.662809169893904,0.374034459888451,0.486226270840304,-0.0061543487360781
severe,0.17720824851751,-0.294080662290205,-0.252626714590185,-0.539676864024516,0.0673507226152573,-0.0297190217796951,-0.164749429990368
severe,0.109703381610877,-0.193472621095074,-0.563412500291742,-0.216193784889129,0.206103935149565,0.11878346393118,-0.204272658772354
severe,-0.0363530126380134,-0.158132103032795,-0.310297102266501,-0.194095672160082,0.143206293009163,-0.0569221278659606,-0.484575257511145
