group,CD3,CD4,CD28,CD95,CD45RO,CD27,CD38,CD127
healthy,-0.0381700029432831,0.207083358589658,0.354553445573023,0.538370465805321,0.644117005157685,-0.0700413266815666,-0.0285089681363344,0.158007374253191
healthy,0.0984117479256163,0.131071204024568,0.124126378392927,0.0599803406875676,0.14009251241831,0.0656633723511311,0.0217204468998968,0.104995342327826
healthy,0.196558774334641,0.237520914868266,0.221050026609618,0.241213295561328,0.29133492359138,0.0369233969817636,-0.0127707251841635,0.217287935583598
healthy,0.210540804587874,0.31602752199012,0.104867250859198,-0.145121715173566,0.0419814780850926,0.176087521264671,-0.0663013591359791,0.519448801257234
healthy,-0.029198279260354,0.200214420073652,0.289904254606905,0.129491665321136,0.442819240887645,-0.0960146323323632,-0.422333446831792,0.58398688244396
moderate,0.253413840213189,0.157809178398375,0.466150326836952,0.55222692534392,0.582777751204596,-0.0159074889432445,0.0112064541177482,0.198702345689146
moderate,0.261088387612907,0.35120754671682,0.0489073859889643,0.323532911719252,0.468036728112946,-0.263916876939526,-0.0121788956248942,0.33316136070901
moderate,0.173529929617307,0.309892374986152,0.143380681794004,0.280049123707311,0.370546232882437,-0.0490115370494569,-0.169205913655652,0.187912845531308
severe,0.207862905195786,0.408684804951544,0.553950016013938,0.515327627914802,0.521968675967996,0.143202043476209,-0.0106243760760511,0.392411554320881
severe,0.215187266528855,0.153362039009678,-0.104407739814977,-0.054588764543859,-0.493513771076981,0.0481286470203833,-0.139504751279502,0.369193983324499
severe,0.0116967649700319,-0.0273506474240449,-0.163172841942782,-0.355424003742643,-0.149288256879653,0.152617685131966,-0.224411887098094,0.009460225206493
severe,0.49696821309949,0.347341756827558,0.128304856726689,-0.157137394780316,-0.0359925993892091,0.433147464848251,-0.0074824894361011,0.214274736304093
