group,CD3,CD28,CD95,CD45RO,CD45RA,CD27
healthy,0.284026487809158,-0.167304983904651,-0.619900115816397,-0.662988166871431,0.281440397626599,0.422308389085206
healthy,0.396024529676698,-0.292882214086799,-0.401253418881977,-0.796656833533385,0.362627370473234,0.451232659334406
healthy,0.180135948882843,0.0848420764218001,-0.273656521644347,-0.533268483395654,0.148164035903019,0.593423645477109
healthy,0.452368770778798,-0.34782712766117,-0.757103931015143,-0.693460584394605,0.658033343680106,0.647809513470413
healthy,0.423294464849737,-0.211067116414338,-0.777038129321971,-0.639000479280033,0.520795319746382,0.556935495756605
moderate,0.266532708278933,-0.115307614961942,-0.423699537616449,-0.500298037001112,0.474741356591165,0.556848306327401
moderate,0.0821912380666531,-0.0491285770489919,-0.480396515056969,-0.682467904976322,0.341270618088156,0.606845481813283
moderate,0.307108091121557,-0.25334393736022,-0.646384180994781,-0.608455664144075,0.545383226904476,0.503805712381764
severe,0.2492058489121,-0.540963539250842,-0.583274546269699,-0.722417469560836,0.471962044488453,0.42122322649518
severe,0.300799325151179,-0.222354758289539,-0.335474708948705,-0.587181313099106,0.0877057352618594,0.0759498657354718
severe,0.0179304790617093,-0.296484774890464,-0.468878533111953,-0.413109449514923,0.214940621828546,0.0709843516079792
severe,0.259338281022389,-0.226790596362403,-0.604922853030169,-0.488594519123373,0.479772082407816,0.438207172269984
