group,CD8,CD45RO,CD45RA,CD16,CD123,CD163,CD27,CD38
healthy,0.326253960154636,-0.147582290317349,0.27089530685913,0.369922205745689,0.211175800342047,0.188943769307175,-0.116438996622453,0.154452043800534
healthy,0.257033403247128,0.279883626947313,-0.0626850472171255,0.125612787399472,0.0207122571267607,0.108611529594051,-0.0812032946716724,-0.0086191757753403
healthy,0.166695786036196,-0.217882990539476,0.17597934958461,0.157160964539701,0.218485848114273,0.25604409232288,-0.0808329518671542,0.0743457259553224
healthy,0.192833267650078,-0.349839646738498,0.538826627050346,0.181843906631602,0.319637886385276,0.133274917076913,0.252932474615709,0.338464437558543
healthy,0.334695408129923,-0.117832591039129,0.355932018926284,0.364438374160826,0.181189249946273,0.174187152754656,0.1976679951337,0.21085648587388
moderate,0.273205850678287,-0.412331690193578,0.482442668067633,0.182134436398381,0.115370541778901,0.104396103154285,0.230995478464106,0.37328569302467
moderate,0.152690767664268,0.0128010026518549,0.123782374730774,0.191190409390445,0.103913446175176,0.170411152340574,-0.0836326854013597,0.249355499423903
moderate,0.341591812187076,0.0251694290765279,0.430702832720529,0.30533920704204,0.275272154701784,0.402620722848309,0.209863282007374,0.412850727902233
severe,0.201662292029625,0.569017775845956,-0.0896045929767774,0.250276042012174,0.226340132159568,0.188945399393953,-0.33454803025725,0.214049881451714
severe,0.0934431700952925,0.254035448737938,0.139409338219715,0.165961944314585,0.332128059305508,0.24109904101768,0.0200832275352962,0.178768210718746
severe,0.512201262651749,0.163235193660701,0.510188156118846,0.522808727040226,0.549820120631029,0.574334037708526,0.322279058028789,0.356756676615381
severe,0.335378613038139,-0.411965466503448,0.625483950838644,0.188632198577138,0.223132722691876,0.266782968196378,0.512705326037821,0.517136558057759
