group,CD3,CD95,CD45RO,CD45RA,CD123,CD27
healthy,0.341461953664825,-0.549337046031747,-0.614646277857266,0.272857880268927,-0.0038207365476932,0.438079007711979
healthy,0.44067042350422,-0.386638702465868,-0.690890631190785,0.29194832915747,-0.0684991974513074,0.460168747135097
healthy,0.341672074102648,-0.424890643235724,-0.550576611277806,0.145664542948646,0.0300313851627169,0.759029313718173
healthy,0.47285020141154,-0.728567927846135,-0.649791384548928,0.580326561873894,-0.0390954885659085,0.612542204543682
healthy,0.445426665993091,-0.644795300587176,-0.499014385288176,0.448468313820229,-0.00092535413061,0.503049694076987
moderate,0.336459933961647,-0.276407386215221,-0.301061290876671,0.34430979054722,0.0723134216441722,0.585574154630131
moderate,0.26910610356794,-0.443098001062539,-0.540644838465501,0.331845791533894,0.0417442826220759,0.545233357688157
moderate,0.284947276006787,-0.582496401407753,-0.442738991830544,0.324370272137119,-0.0533619519335299,0.519578930166241
severe,0.37614232586106,-0.427561562094843,-0.597308545029281,0.498613964033163,0.0023663589289582,0.553688184670397
severe,0.414041962229163,-0.246651161144596,-0.447877096527513,0.114467875611588,-0.115519620839314,0.153574140243142
severe,-0.0789189975294904,-0.305827882501208,-0.221477013988081,-0.0050838301363183,-0.51610438616958,0.103492759129572
severe,0.0401738782503336,-0.529011033328516,-0.434569794798687,0.481977140939332,0.105779764726891,0.362337058729143
