group,CD95,CD45RO,CD45RA,CD27,CD45RO,CD27
healthy,0.430874601815864,0.482118759945771,-0.248236596129488,-0.406437584098413,0.59836387975909,-0.452206037218705
healthy,0.17285428411434,0.241835319863118,-0.0991128315789371,-0.28412184640704,0.621240867194828,-0.438731208349974
healthy,0.362050081113846,0.459238845103091,-0.12171351837066,-0.702402227956199,0.512952465756381,-0.70356674910123
healthy,0.54299011489003,0.43773584591265,-0.301853100106388,-0.339442786104857,-0.654302316984523,0.173531682146461
healthy,0.556041255694426,0.321940903731002,-0.263931603982136,-0.400587143175948,-0.22666456455957,-0.222401451530779
moderate,0.587269049660917,0.610839553031983,-0.362131903792845,-0.45390542191011,0.521948490564385,-0.533547176356054
moderate,0.48874990513751,0.578667572641936,-0.336479669371546,-0.502464886981261,0.501283548297371,-0.511534021653454
moderate,0.383722259264803,0.215537890698851,-0.187106882884664,-0.489780773620084,0.354759359194603,-0.484917522894891
severe,0.287721866246945,0.475815088392089,-0.527609545424304,-0.579723357465927,0.667610847850059,-0.483658023960536
severe,0.118245414056031,0.590843276781881,-0.147812776409646,-0.192304420021599,0.345294404215544,-0.223855597590081
severe,0.401469163439862,0.144028088646572,0.0302419816332989,-0.032515282563718,0.499387479344742,0.0648188138299756
severe,-0.614161693126914,-0.831741394994983,0.614291020625689,0.074303006245512,-0.242972639463479,-0.167909886111585
