group,CD3,CD95,CD45RO,CD45RA,CD27,CD38,CD25
healthy,-0.343116969660841,0.580707113367099,0.676286408523497,-0.28471841150078,-0.373613768716032,-0.177186329762828,0.169385034318765
healthy,-0.421473331049056,0.399257788437862,0.767994517216623,-0.335464308741069,-0.478416499161873,-0.152550230476849,0.117585305391812
healthy,-0.312865007693011,0.439894630560988,0.65676110422421,-0.192734797648989,-0.79638995016925,-0.345359052232392,0.0168404892333017
healthy,-0.480707700308596,0.817024484052169,0.74231955770555,-0.655563135955088,-0.605172107206706,-0.366589257946171,0.282657295735624
healthy,-0.4107276448831,0.813567078163344,0.690489796179114,-0.536442347372777,-0.500324784854008,-0.468132448372848,0.253657328634561
moderate,-0.0499933009439451,0.6410890179519,0.660587935325194,-0.515754450982849,-0.548134718548205,-0.161774834798351,0.169435891118191
moderate,-0.153778016337927,0.563582974928548,0.71495870395333,-0.351693012968606,-0.527475484838865,-0.0725934546210168,0.10365429139975
moderate,-0.283058262708539,0.682986001735527,0.629361448305322,-0.510842524676849,-0.524414042960425,-0.240555829953914,0.150327977571011
severe,-0.376634198273463,0.428910843688916,0.633301719976584,-0.54149567386286,-0.481393689147518,-0.146751230370568,-0.140877857444275
severe,-0.31571165141895,0.260894063967395,0.701706991414777,-0.108191222555725,-0.0560755158959657,0.106997964388976,0.12289306002908
severe,-0.114979836403105,0.166584936664534,0.266773441629658,-0.216891239270913,-0.0069459314485865,-0.0602340004344767,0.121711204993117
severe,-0.375851573777064,0.520428680821598,0.428935105430097,-0.503816603629131,-0.521896121983741,-0.0503390156782594,0.467877214482638
