group,CD95,CD45RO,CD27,CD95,CD45RO,CD27,CD127
healthy,-0.457166564598815,-0.523335195251731,0.400207596620582,-0.549465485318556,-0.64626837359996,0.396587489044993,0.149371907017965
healthy,0.371731244667698,0.560243513160015,-0.342094010631846,-0.384158842488425,-0.734766412324017,0.443195799545768,-0.147976627009221
healthy,0.0025061494636814,-0.173831382605263,0.599421591322725,-0.394534595853949,-0.586422691539476,0.780238460684648,-0.0557793694043142
healthy,-0.557019864307976,-0.522078997742488,0.2832516730148,-0.0432249020368741,0.0903333439181439,-0.0664107340624924,0.741573203385987
healthy,-0.707010696766889,-0.564307178812527,0.510610295149154,-0.648325650432469,-0.427360264212683,0.431453655985038,0.416060876874266
moderate,0.673691155326716,0.582336757371469,-0.149098357821969,0.0388089953087117,0.158638397399235,0.486456538667062,0.348460889498786
moderate,-0.419234897198139,-0.591886527739817,0.636583327127822,-0.255605373096684,-0.458507527575411,0.679968114388606,0.0550692379738924
moderate,-0.266043650663744,-0.638686118158551,-0.0274836783183505,-0.543685916602035,-0.499507924398368,0.492725396551931,0.0402657160213899
severe,-0.423571682406639,-0.595092841327364,0.412898774404228,-0.526638299097251,-0.687496216070449,0.456431282337334,-0.0142751014077989
severe,-0.275800521846819,-0.642076805863423,0.0527225046681022,-0.193331285943726,-0.562677385731023,0.0347543452601378,0.292079758220076
severe,-0.372141565361887,-0.41058283385287,0.0838700138954305,-0.283865037718592,-0.220257995237204,0.160194898226373,0.13396351063466
severe,-0.591915989801073,-0.471532193342412,0.50392510407679,-0.289665701065986,-0.146514194800679,0.308173202232702,0.212936794355872
