group,CD4,CD28,CD95,CD45RO,CD27,CD127
healthy,0.13682034878231,0.104226258127463,0.125295368199497,0.128926294396956,-0.376820948643622,0.218558920000738
healthy,-0.0251107795008469,-0.03186295153805,0.218822794799119,0.346915804813153,-0.206281883059228,-0.145286273387708
healthy,0.115553191888868,0.288900612581886,0.452915950762333,0.710493955285306,-0.414374808179516,0.466739506410953
healthy,-0.13132423003295,0.267769745121389,0.531384275495542,0.397934907491037,-0.489867509513136,0.174330689963669
healthy,0.0316781135481742,0.148775594940943,0.0379330691774617,-0.167902564028863,0.0474917086301496,0.504119059733557
moderate,-0.064230984952975,0.271521330101989,0.5604609743389,0.523759492275709,-0.564779060812116,0.0046659901516866
moderate,0.101690768108058,0.111150148995051,0.508814540107482,0.695564311521289,-0.490314922755583,0.0880224318940987
moderate,-0.279058665594371,0.129718249964386,0.398918673378194,0.2647968083872,-0.43837783100752,0.095105824090352
severe,0.198330421701289,0.539689668005448,0.604332853407834,0.768959487455008,-0.278141744340313,0.176950356251538
severe,0.0645101935554494,0.0412505397106344,0.266634308466508,0.338846708764198,-0.0376492772169251,0.0933378923039819
severe,0.0950308827207857,0.223231534830645,0.441229040121158,0.205819755108427,-0.204768546341793,0.0482092622684751
severe,-0.54180238661888,-0.392950523077238,-0.242690632153403,-0.385165202448569,-0.139012358995195,-0.107064699306403
