group,CD3,CD45RA,CD27,CD38,Anti-PE,CD127
healthy,0.391761319204384,0.039149692534947,0.226179139270434,0.112165202949479,-0.042956523666461,0.207109305935155
healthy,0.119708794255845,-0.0714276935276465,0.271329077695175,-0.129749979191584,-0.0876159294034859,0.37019781312309
healthy,0.25603304894887,0.0565188293942704,0.329341049001778,0.109966368825467,0.0357112364457491,0.101676942010225
healthy,0.314622642675116,0.310802844974238,0.401604645109088,0.295360265232855,0.0783911403129633,-0.698362079710524
healthy,0.438418739547556,0.469223270368633,0.581195169866051,0.51712508988079,0.066834406997255,-0.208752550400581
moderate,0.287644374040532,0.313650507434849,0.544620848318425,0.191178797088681,0.225805013975891,0.22032486303998
moderate,0.354222944726616,0.282423003978445,0.286529172151235,0.216019737224465,0.192546664230754,0.132181632542559
moderate,0.0677640960696306,-0.0100429921308418,0.169868155892922,0.150346815114749,0.503105546551605,-0.216786282177283
severe,0.309586825782817,0.330427314166659,0.32741702270492,0.150150545403551,0.277838314416141,0.214913980754016
severe,-0.173966830654689,-0.0118567424509963,-0.013515435338482,0.0575225434308498,-0.306289601425952,-0.0920770660541299
severe,-0.115781955257788,-0.477948644426274,-0.299267680920425,0.0215401862037737,-0.153472125796872,-0.003889822101566
severe,0.497205894391896,-0.164632498357222,0.274461887122427,0.0243998258952056,-0.0296457125280584,0.0536353872904187
