group,CD19,CD95,CD45RO,CD45RA,CD27,TCR-Va7-2
healthy,0.0311862008203252,0.339143210520011,0.441561228303063,-0.268916068979405,-0.50467314932559,0.0071859119127114
healthy,0.0341384527375076,0.394721913354838,0.789329864608246,-0.355410378887608,-0.418855316516357,-0.0931693467829259
healthy,0.052240935481545,0.447593212946069,0.654495404260215,-0.210310339111164,-0.453929399063067,0.18871412891176
healthy,0.192578922962186,-0.513213068588806,-0.507996767776462,0.531454474225045,0.466444621858607,0.118925764088107
healthy,0.0140702503343106,0.449528099197002,0.581916198050486,-0.42138586662963,-0.149725356122534,0.0285736724705911
moderate,0.204816250374896,0.333855094023204,0.261039437454785,0.0841459422587641,0.0892871894192229,0.219883253837829
moderate,0.0240513227939658,0.192709707833549,0.324555059328547,-0.0315561340224684,-0.313163438653569,0.148469494788065
moderate,0.138054600383207,-0.035789989144425,-0.107611648218268,0.228023945468401,0.137765484479188,0.0865183840530606
severe,0.507059794513808,-0.108169637821132,-0.264149903573178,0.397001797281287,0.282007725287549,0.475870036736957
severe,0.0345291661183019,-0.187417187755636,-0.47001933791496,0.0610848752471158,0.127209420055454,0.0277740292306447
severe,-0.0634984890816516,-0.306476849752535,-0.0841373400489319,-0.0999460314349607,0.113659113088381,-0.130497327427966
severe,0.174484903469767,0.622200411084822,0.518442446303343,-0.517783627706177,-0.503162071672878,-0.0100160363604837
