group,CD95,CD45RO,CD27,CD95,CD45RO,CD45RA
healthy,0.533130563249438,0.610184538753092,-0.411276283169528,-0.442250042225473,-0.600359398598256,0.368830686059014
healthy,0.407148062871885,0.781696871368421,-0.445060946970613,-0.407540369130725,-0.740127846614801,0.346565315425317
healthy,0.252785933196163,0.411500260575646,-0.642137786262702,-0.557876317837984,-0.696021388273167,0.300594842963172
healthy,0.730830815216151,0.643127558204211,-0.628639757171497,-0.776427939649839,-0.735907234628236,0.681339658703135
healthy,0.662061080097317,0.445353597217166,-0.520809330579227,-0.458543937254328,-0.649084700944185,0.535554460933838
moderate,0.039772747742087,0.0974602511760276,-0.458037903951867,-0.551457027047552,-0.526538756380909,0.545979827910553
moderate,0.388251412388684,0.508452060329631,-0.560169052138824,-0.459881237737714,-0.614380452797718,0.150456550758907
moderate,0.671291304871781,0.590555155815483,-0.499815111840741,-0.459475098065146,-0.354667910245855,0.571128972142807
severe,0.455368699274207,0.630840057574657,-0.476037549635681,0.228174195833205,0.392482210143532,-0.0535868193507823
severe,0.323414923286371,0.611114509122558,0.0040635179845855,-0.184011757868392,-0.538158256111198,0.150346145704098
severe,0.351885587062785,0.235055435078091,-0.182314505981723,0.325748515157945,-0.0080603071452992,-0.083788684371219
severe,-0.0268017204840101,-0.206711602532828,-0.0198997911548299,-0.4450514301189,-0.351924190430113,0.419087250067466
