group,CD8,CD28,CD95,CD11c,CD27,CD38,CD127,CD94
healthy,0.314146452829736,0.138645093375282,0.0427248072372654,0.103766587978378,0.0266942592509827,-0.0832101658481407,0.235559416922822,0.230422333692891
healthy,0.377586209566613,0.0914494607262278,0.141102499621,0.0266032017244391,0.0183470877395603,0.0925831309383638,-0.148335457604925,0.0236432376659092
healthy,0.286440809297335,0.0739554791984503,0.120973413846309,0.137492958418434,0.122908990772293,0.0414274836101501,0.190790733281615,0.239457739288662
healthy,0.316072628318159,0.278654423529973,-0.482786251203124,-0.167027122758093,0.705198166915849,-0.213860259109917,0.525936754442503,-0.329302201146373
healthy,0.520147144791262,0.309497759922337,-0.241985030073854,-0.268226255086171,0.544473257334415,-0.289600606966229,0.568402535488443,-0.512572480117023
moderate,0.127807126068767,-0.0458113059953577,-0.0476278362841376,-0.105128625301271,-0.0193283507396064,-0.373167535867522,0.226170810004207,-0.0602582047309945
moderate,0.48929220700655,0.175790585711032,-0.024029539524768,-0.183912570708327,0.436864163763596,-0.49200261675557,0.2623794052297,-0.122604392957827
moderate,0.480725941180457,0.483107065882878,-0.25912052250772,-0.176260049425743,0.621208759854159,-0.178054218280575,0.502548238358604,-0.214940833485175
severe,0.393548198205344,0.457150185689507,-0.0100994263225907,-0.111599966829256,0.641291242599088,-0.184553180549137,0.487423682993647,-0.139121342240439
severe,-0.2341147532917,0.330178354614473,0.266203202400887,0.482303928389891,0.127000994165103,0.297852591273094,0.347210012266662,0.540028822187896
severe,0.372532711547793,0.586980621182622,-0.271990772461,-0.0663072769891856,0.749811036063516,-0.109714846433047,0.548303021281119,-0.589643068092898
