group,CD8,CD28,CD45RA,CD27,CD38,CD127,CD94
healthy,0.100917247349188,0.42532600678887,0.0072440475639197,0.629920523455231,0.00011338628178,0.455190212657879,-0.0685370393845477
healthy,0.120502956406921,0.41651231175229,-0.192188248140636,0.643694330070318,0.0061566969374047,0.429439235728931,-0.201947778456615
healthy,0.0045646770681045,0.532774444080529,-0.474046792758529,0.56580288540485,-0.100851667494251,0.371090321013252,-0.352836817511558
healthy,-0.106429326720888,0.385534455107624,0.196652143901729,0.804508343496079,-0.318161067062578,0.266391517614561,-0.459525068280769
healthy,-0.560821124359733,-0.402626276675137,0.278615673931265,-0.444982191102346,0.510512563512292,-0.674367694360842,0.477090810970062
moderate,-0.102851607502266,0.517068168208755,-0.27958691475198,0.419210631519352,-0.132645888318438,0.658597945708466,0.123854928627861
moderate,-0.258239384179505,0.372968537587488,0.202240884729157,0.440920253826748,0.0071226569859725,0.148210814211763,-0.13298548144512
moderate,0.266848119413282,0.606929541462599,0.324151938781089,0.842858731537091,0.0539224254969759,0.624719814720946,-0.113527911637606
severe,-0.0425096986521169,0.0465051232076799,0.1531467056005,-0.0608504222401982,0.392552781769468,-0.221018196092909,-0.251080315431662
severe,0.358834243320234,0.0516332424393629,-0.140414251739997,0.0510414510769011,-0.226113619139641,-0.133093666562207,-0.376943110258255
severe,0.383633492694592,0.606355153649744,0.0132467132646005,0.778740837426288,-0.300411367642323,0.801674864522716,-0.487779834889795
