group,CD3,CD4,CD8,CD197,CD27,CD38,CD127
healthy,0.19710416759241,0.143154955921819,0.355167631540658,0.18227144572338,0.21451261850512,0.110021351503557,0.28460222167498
healthy,0.330708570617867,0.168640142414947,0.315597264596848,0.146089305224526,0.0431200803670179,0.0906845137747304,-0.0151549935362579
healthy,0.443396873185241,0.159544123146199,0.32837957733361,0.0171734005239986,-0.231342822762931,0.0776713816751285,-0.0675658695441072
healthy,0.270642319478323,0.106178951948086,0.527103870450512,0.0664813708181462,0.0914888556142415,-0.0514447356223374,0.418362662919066
healthy,0.236195228739481,-0.0979290218043315,0.590027065074706,-0.042965865514639,0.447048858929982,-0.438623951950634,0.547977035313084
moderate,0.206940657958649,-0.0598546535815506,0.303639457124403,-0.246720799252464,-0.0016613173491428,-0.508955921140049,0.16739395356487
moderate,0.209796782153404,0.304764864253265,0.138240275713441,0.170903046205725,-0.521351894272392,0.297608199304385,-0.225213194967547
moderate,0.405026058214642,0.502474427719111,-0.137176209678105,-0.0974906171988549,-0.273838053485497,-0.271580011804855,-0.0535135135934489
severe,-0.426492962102653,-0.190419555590734,-0.280174454297593,0.114818531289729,-0.280257878707826,0.574852283144094,-0.42172425225439
severe,0.541415319617023,0.0782096586682681,0.555045883839331,-0.0035246900860441,0.162189842388603,-0.0461538202858772,0.0920809656383013
severe,-0.198898379747747,-0.0122159402612177,0.0685817824620149,-0.614026975885035,-0.355737229970444,-0.0321307902209647,-0.437893799406176
