group,CD3,CD8,CD28,CD95,CD45RO,CD27
healthy,0.164043924160744,0.093530874007319,-0.32920426477401,0.0954694874309802,0.277580391342912,-0.577621194655438
healthy,-0.118158793590924,-0.0008500869035025,-0.230603155198296,0.0340127293459906,-0.190331213853595,-0.330570114015203
healthy,0.227936419357634,-0.0781668755229942,-0.579751636847469,-0.0628796629805175,-0.186612568119604,-0.64054169001277
healthy,0.236282142317955,0.158141262403698,-0.149473409165412,0.537025203659542,0.638354944668899,-0.450498115817568
healthy,-0.295171916686801,-0.539331495583665,-0.124129091764454,-0.274469384207058,-0.409752328914364,-0.002561550099806
moderate,-0.288310332670453,-0.406716797971948,-0.187803296816863,0.055026475163247,-0.122179802757867,-0.231863620219824
moderate,-0.21162536717374,-0.211447427019012,-0.363392700467904,-0.0612478776280275,0.0442866829853565,-0.47302141157448
moderate,-0.262464152064333,-0.204515121730435,-0.309666460850605,0.191545378506865,-0.0622725766232368,-0.38487533421666
severe,-0.362061337348406,-0.187224454595622,-0.0489345308226092,-0.110440947278166,-0.175511531220594,-0.156374272410031
severe,-0.530226720294886,-0.487832742653113,0.10816317994501,0.0975948426367602,-0.0593050133426455,-0.0005721924906651
severe,0.190628279976921,0.460089216664326,0.122236939515955,-0.12340772694063,0.011959554011366,0.298520252073233
