group,CD28,CD95,CD45RA,CD1c,CD27,CD127,CD94
healthy,0.366394475808223,-0.123934022071059,-0.0300367288817746,-0.187407318389117,0.590205396914355,0.389700377725053,-0.155678664327525
healthy,0.39885630608338,0.0950391331783029,-0.204565460842959,-0.0353651353939337,0.568628475019423,0.349996795279132,-0.267108422975273
healthy,0.530755978056362,0.0397244548897204,-0.417098300434454,-0.0269604097407441,0.587820624000576,0.454961910066883,-0.399302978659217
healthy,0.0456227018391619,0.60424031555847,-0.61055782242103,0.0589849267027804,-0.303943801672772,0.301400549756726,0.0836127408846585
healthy,0.365836095430727,-0.392329970113314,-0.270851984223735,0.0183265730847846,0.615048237314662,0.617600174274331,-0.377099573539353
moderate,0.37950953665068,-0.0768325066537585,-0.0216841401234348,-0.0832307888680168,0.357418247825594,0.421452788451873,0.137177957434804
moderate,0.296294852459625,-0.007763628700528,0.0339110451483966,-0.148533852172479,0.573113480594463,0.326440270155267,-0.159843868176369
moderate,0.583259812178662,-0.455789357651118,0.196057079364721,-0.0004819128247096,0.808948819341573,0.627061004375604,-0.28755337255601
severe,0.100290856545334,0.0228012580524064,0.0350321785745429,0.129380847812484,0.285934199256464,0.0735288027428587,-0.55221890898108
severe,-0.475225814694517,-0.329517366030565,0.0058366148913709,-0.562735483372792,-0.318582523487699,-0.517469046575606,-0.154736015282107
severe,0.475075068108288,-0.53898207628448,0.15713074831432,0.0356167853839712,0.560033023123337,0.664397594014587,-0.476797405945212
