group,CD3,CD8,CD45RA,CD11c,CD27,CD38,CD127,CD94
healthy,0.206284154275246,0.209172732759416,-0.0647672996694739,0.124647874425985,-0.446667696562437,-0.0031273659328273,-0.163497972803751,0.273160843150009
healthy,0.237898967840329,0.209684778764305,0.318848343340306,0.0796984822484968,-0.292293390753334,0.101630961108194,-0.271075089995928,0.226610218220493
healthy,0.340011977325508,0.0833170619805307,0.489673412300206,0.0905917916621367,-0.372694053925059,0.0955299765872853,-0.215019143422247,0.392956612634712
healthy,0.379334309118,-0.138529059190577,0.358916145647356,-0.0587949736642142,0.467687702459981,-0.152032399561349,0.320931890703817,0.0305212313881916
healthy,0.279285959506046,0.67060166714119,-0.0898414436019798,-0.353960920438077,0.483726869457275,-0.442551326939238,0.564150552107179,-0.390828728126381
moderate,0.219622480882184,0.188139591938615,0.0215791321809484,-0.104445740448114,-0.0127391004738806,-0.466432286130902,0.196207859905417,0.0185515315781459
moderate,0.474438231514369,0.327064113943446,-0.183068442670764,-0.0602272141950047,-0.18642542302456,-0.300692423045371,0.0841846960059549,0.0279265121819997
moderate,0.436899388808477,0.222663476183314,-0.371510759013502,-0.340500958562884,-0.213224616699981,-0.427738706465651,-0.0664718216680686,-0.351788257523524
severe,0.465335615706597,0.4386707547356,-0.12208608546172,-0.45353586465108,0.191701199090915,-0.759328633721373,0.171758158943391,-0.341628191172011
severe,0.397480208515507,0.334487253283737,-0.188319390886864,-0.271160978568619,-0.0318992363783781,-0.214855915280829,-0.0822600498978984,-0.455454443526437
severe,-0.0896599312418426,0.437744472092371,-0.046625680617033,-0.0758760446656237,0.594657552510307,-0.393906102535305,0.717762794815544,-0.411722538799642
