group,CD28,CD45RO,CD45RA,CD27,CD38,CD127,CD94
healthy,0.180047562392641,0.231831588568548,-0.122292243397633,0.105436448393004,-0.299373756229652,0.315829059998789,0.156917205506975
healthy,-0.382385558293572,-0.215409945771496,0.0185773336669639,-0.487528074172254,-0.0416358770129976,-0.296216572308142,0.0327656850879593
healthy,0.331168036966665,0.273664598110958,-0.547278121401461,0.376959096605358,-0.179819510566816,0.292524942969486,-0.515935927407266
healthy,0.193639983368317,0.179688973645617,-0.0443732355987953,0.136198050701657,-0.172493493531002,0.0898068632195596,-0.100234947451797
healthy,-0.297989353221333,-0.543346758667984,0.575010394591113,-0.115795875179294,0.526947827849313,-0.221433442942326,0.111498805802696
moderate,0.377831930885994,0.122724298172425,-0.214442340108498,0.22580917759389,-0.565436087111529,0.539698216429599,-0.20292376148632
moderate,-0.26810836275574,0.222896324038329,-0.341821443125723,-0.281286736440863,-0.311531338780272,0.0506303140287439,-0.11341093363862
moderate,-0.498282045184014,-0.124775560063885,0.0853482611280114,-0.609787076062224,0.340496049275989,-0.592122603356766,0.515497954083266
severe,0.0662191998071665,-0.0555914627071399,0.115705999583172,-0.110312108975347,0.616809035924124,-0.262565148478226,-0.0037651936545102
severe,0.1270909324413,-0.0270171049922486,-0.151838821006657,0.0598950904199177,0.124100431369377,0.265014092873978,0.397297478195748
severe,-0.620832924396508,-0.141483639160976,-0.0583181924871267,-0.696822252491356,-0.140420968745024,-0.452775718637175,0.237512856109623
