group,CD3,CD28,CD45RA,CD27,CD38,CD127,CD94
healthy,-0.0504042217238066,-0.348255222643038,0.114885268410825,-0.457160366312759,0.191416441561009,-0.435751414916693,0.0429371032124981
healthy,-0.49942478854935,-0.420013100620906,0.188149059220179,-0.570862151784382,0.0941351245983608,-0.360166009669065,0.206249100626584
healthy,-0.0554288198172765,-0.554222881263036,0.337172190564896,-0.629813809013783,0.153407222354829,-0.491942970502234,0.29013337349684
healthy,-0.0351106457286876,-0.338670032863198,-0.210618676890372,-0.749991335253024,0.320961380064725,-0.496744171134403,0.421009428584798
healthy,0.221778778074283,0.20226901615842,-0.037268012410118,0.581465296147372,-0.194792686094766,0.209079462556391,-0.374495725562171
moderate,-0.161488181962994,-0.462337102061889,0.461144775875701,-0.328124618887889,0.401859302391466,-0.614374836575918,0.166698784188313
moderate,-0.127837046540744,-0.257558786487349,-0.0658268345192858,-0.534137223217471,0.485155860798518,-0.306439235074028,0.151143262426166
moderate,-0.163512538092284,-0.596281858133095,-0.104776004285998,-0.786524422881288,0.220454623516588,-0.651760130191362,0.365388286824171
severe,-0.145798089188246,0.0328935891207438,-0.126446268947282,-0.0442355964308301,0.13739096004616,0.142285062799811,0.484316309146186
severe,-0.253292481862863,-0.134733576544452,0.0973762474962042,-0.172804607061885,0.0191305901071531,-0.113792870171146,0.452675176028849
severe,0.225247041871371,-0.546008662715365,-0.0143002662706383,-0.716684238094633,0.398454006737837,-0.796657754305067,0.532447696150175
