group,CD4,CD8,CD95,CD45RO,CD45RA,CD27
healthy,-0.0495195456319664,-0.0961295871468221,0.0108680811992446,-0.548794094958075,0.496203549943892,0.154289387159745
healthy,-0.14451849633759,-0.0737501023995954,-0.132972748177025,-0.0700364413055213,0.0891139310074613,-0.518777651777595
healthy,0.100031935882624,-0.39990558792958,-0.189665638672236,-0.129141155248733,-0.0187957175034606,-0.444238823145782
healthy,0.0786765982202404,-0.0906096906976758,0.549950073934295,0.247318325864274,-0.276916075473407,-0.723524016594086
healthy,-0.0951148829915568,-0.508695542857435,-0.0184764483274289,-0.191857811542391,0.262695341987594,-0.258187973201663
moderate,0.0297931643029391,-0.254641812060331,0.0030924186252554,0.0856319188055416,0.0731332390481142,0.102395749969859
moderate,-0.105380699833207,-0.458841038211393,-0.15037972864029,-0.0155541799489352,-0.150361308670522,-0.244458180092439
moderate,-0.563662061420843,0.323837725578714,-0.364538451512024,-0.114956825585401,0.552737847668447,0.64820630067591
severe,-0.268975443238592,-0.402693200778833,-0.200927582382689,-0.265354780120711,0.0691629366067445,-0.165263945103255
severe,-0.0832352883468318,-0.276272181178293,0.0668826521997504,-0.173345215625668,0.258765309792148,-0.0124867646730184
severe,-0.0352368894169622,-0.533445748778883,-0.0717585687798158,-0.265634906479171,0.278994080665157,-0.322354466160847
