group,CD3,CD28,CD95,CD45RA,CD11c,CD27,TCR-Va7-2,CD127,CD94
healthy,-0.122986448850439,-0.170663116504553,-0.0245244396958916,0.212995706256527,-0.104190686444726,-0.0651555957074852,0.0499520133043113,-0.309302411270727,-0.236607314750735
healthy,0.50313554149985,0.188249921932651,0.0247419814500387,-0.0753654481417393,-0.114555596010646,0.243377360394121,-0.333703195678298,0.0727286306673457,-0.221334196222271
healthy,-0.290051519112772,-0.104020922870517,-0.173541585073124,-0.271197867789338,-0.147824418891292,-0.124034649216812,-0.212126624893444,-0.17441734481546,-0.294442384154374
healthy,-0.0173303134946465,-0.272140652929479,0.517140787852228,-0.357954248749802,0.151601614560309,-0.7719437796553,0.0152126066606658,-0.404189337959815,0.324846085561868
healthy,-0.182364279211567,0.0994639860305381,0.468598800455287,0.0683252374694961,0.126660280818366,-0.254205897244199,0.50734665453482,-0.381886920425846,0.106407774152363
moderate,0.152450278061963,0.569317894551335,-0.000221823668172,-0.0753501702156272,0.0145738954412104,0.429796934300811,-0.076239903072263,0.35595355285232,-0.214605408187154
moderate,-0.0818034297919751,0.15309686512514,-0.085142112604917,0.178753004339914,0.102987926559446,0.253101899514109,0.0234465181627135,-0.0800880168143762,0.179775815366855
moderate,-0.327134537042967,0.367766098400558,-0.346583769043404,0.534370345796143,0.21505063412638,0.603939379764088,0.136176062447207,0.341799548409411,0.210017353397921
severe,0.0408130773611747,-0.047627998642704,0.0687310968117293,-0.132980856979775,0.190207110831196,-0.0858524485924842,-0.115647644751237,0.203121399314284,0.476594149492684
severe,-0.182858134954939,0.310903771438031,0.226687716153759,0.0076571650984004,0.562135531418802,0.181379079826411,0.248186681439244,0.425669459743129,0.434756136280221
severe,-0.212341626309183,0.466754543498403,-0.397525160642282,0.0103706941672042,-0.126263236421407,0.688212645700367,0.0539501720954683,0.786875179163438,-0.582898921841058
