group,CD28,CD95,CD45RO,CD27,CD38,CD127,CD94
healthy,-0.341413123113219,0.0194735151612932,-0.167462985365294,-0.544449441183628,-0.127286046189682,-0.33225690107045,0.0132482448755818
healthy,-0.453483897854751,-0.135104508667679,-0.247838007207923,-0.639712190200842,0.0179817481278815,-0.389695222324077,0.23170598703781
healthy,-0.395715000558963,0.0064910611304315,0.0932664630772863,-0.546722784836013,0.132699501558072,-0.434707841635389,0.172755331576561
healthy,0.0686642445711593,0.456737929516917,0.532556813099574,-0.169475075083374,-0.181912489025775,-0.0828738873961187,0.094803068968913
healthy,0.270199737297812,-0.429300968026775,-0.298332866581452,0.603268888347999,-0.166470555795809,0.524803643514343,-0.358273595457111
moderate,0.267349514448728,-0.0681429195895337,0.215403549737697,0.256146381668327,0.102621192231335,0.462384803855107,0.104768805435296
moderate,-0.347887179340396,0.05609867352751,0.229553524808859,-0.56219560171992,0.309667295304234,-0.266778424089181,-0.010643545151479
moderate,-0.528977299029016,0.368250187059062,-0.107731765338288,-0.652535775974984,0.334079352314898,-0.596440636008102,0.480662932149603
severe,0.0989453092020084,0.0927160449287016,0.167679155901764,0.146414115570503,-0.344208707625312,0.353994560696083,0.320289245692327
severe,-0.0887555048242592,-0.170509043206892,0.0262727510938647,-0.0748641607509686,-0.291733350682002,-0.152468536172469,-0.362875298705733
severe,0.197161243473909,-0.485371089105952,-0.240651792802751,0.351196817546979,-0.649253133225918,0.665574792386451,-0.40365606762354
