group,CD8,CD28,CD95,CD45RA,CD27,CD127
healthy,-0.153836636229332,0.239112768594742,0.0568233791678721,0.257380947235201,0.490534641618326,0.131884018752768
healthy,0.371533952567416,0.401321243961615,0.118188970100508,-0.0764401224851112,0.550393214000157,0.276096052549673
healthy,0.162667453195067,0.453005401955383,0.0795209927198355,-0.0705593375808367,0.569846030823851,0.439949077638443
healthy,0.204990158801489,0.211982982363447,-0.539172773171006,0.352089695905092,0.673550748412299,0.382329053069003
healthy,0.345058610932468,0.146863505431274,-0.635786138840955,0.0771428291470653,0.491861188532237,0.498113016334356
moderate,0.167892661780888,-0.443977686165217,-0.037892071978987,0.601657820874165,-0.312721327327889,-0.522959283243557
moderate,0.207216257494287,0.365320360249841,-0.0823239180137877,0.124315484233967,0.622778765775148,0.250259792583782
moderate,0.535230916708187,-0.041192386194738,0.0497201055744488,0.151691941708561,-0.0333674911771909,-0.10194500872528
severe,-0.110503774742401,-0.0306316612317165,-0.1213729530272,-0.0861866095199399,-0.103109374919068,-0.336998513435769
severe,0.0958317322699535,-0.0141324843764118,0.137065239678129,0.45790932711322,-0.0112141808551118,-0.341912037118828
severe,0.273844476717987,0.59667651591171,-0.411032359458217,0.0055282033332812,0.716735913080828,0.57095507676955
