group,CD8,CD28,CD95,CD45RA,CD11c,CD27,CD38,Anti-PE,CD127
healthy,0.134446309751921,-0.280959829345376,0.178380142389879,0.0741671510810596,0.114455452185264,-0.512934659249567,0.13129949954009,0.0496655798247283,-0.305776973132822
healthy,0.0166902584708459,-0.332445599037543,0.0119531178108801,0.346974763151267,0.138326148836372,-0.538106976125314,0.106302531886353,0.0866455213481725,-0.43550574684973
healthy,-0.0546824325322113,-0.533680221067848,-0.049713556005549,0.401096894420694,0.068180094139788,-0.577603631447899,0.110778781562095,0.207441245557934,-0.371003007802365
healthy,-0.301173913141476,-0.326055521542775,0.506225400868055,-0.247916130672503,0.141620403373508,-0.770121297719088,0.165835351484565,0.20211686854557,-0.48660216538738
healthy,0.496885616074809,-0.019077213597722,-0.223848391737485,0.202036789208105,-0.156694548847757,0.299545169598051,-0.19573782925666,0.014771602685404,0.31936579632575
moderate,-0.027408734526445,-0.480361610510372,0.0390389986889051,0.110732618222289,-0.0555778181273501,-0.441601653178163,0.238289927678784,0.0242493230858505,-0.728223483055436
moderate,0.0195731815916735,-0.396467318724835,0.116406015658773,-0.267857736322141,0.0541787876322538,-0.518389123349659,0.143953864176158,-0.0560040883675074,-0.260521183402592
moderate,-0.113160312431946,-0.249004679471042,0.26977566075744,-0.559133324750893,-0.278291249702968,-0.432039394595836,-0.391107991695705,-0.0746046974594235,-0.18550329266527
severe,-0.154782892400593,-0.086116933151534,0.114111908909272,0.0459914049789062,0.176738034638084,-0.283681148329193,0.431774008144073,-0.0137661264779603,-0.365655692555356
severe,0.0672600601478887,-0.434383409821656,-0.261449016365086,0.0746415717401288,-0.494153057774328,-0.25982835321569,-0.180614638093841,-0.494716777738837,-0.444858897737538
severe,0.0776228582353694,-0.157964582876584,0.641063262790203,-0.37670431903289,0.153492831546198,-0.236073500573074,0.495948603984697,0.15445473888134,-0.485714122164671
