group,CD28,CD45RO,CD27,CD38,CD127,CD94
healthy,-0.231143844794126,-0.0179537517876918,-0.433111539446002,0.126946540658385,-0.229955748579377,0.216926336992983
healthy,-0.383855702773597,-0.244865537431119,-0.548765942415173,0.0733969074328244,-0.278689809288409,0.362799350751353
healthy,-0.436861425945092,-0.298315007961502,-0.49786910575167,0.190209122651895,-0.400902370267605,0.504859511196949
healthy,0.0586844429665658,0.160595375896963,0.222551417260223,-0.0347257226724619,0.0638929285767321,-0.140819309837856
healthy,0.246060734860644,0.57341550112771,0.208559173113284,-0.21764766628884,0.0023904021256156,-0.115879095345499
moderate,0.373100486459254,0.320099298133738,0.228581905746023,-0.270094769068681,0.406969687198789,-0.211584364286777
moderate,-0.165102608818007,0.14360526231346,-0.444803925258442,0.560417791055802,-0.260392156643487,0.224412745394815
moderate,-0.580674806978511,-0.0322019751028072,-0.771131372831494,0.246573150492045,-0.62056198823818,0.357334878385494
severe,-0.133061690639706,0.131515281020453,-0.334541018439107,0.545104856262344,-0.18664197241262,0.632495571875198
severe,0.0599735060275569,0.168717059404168,0.0257862802713587,-0.0332303752831902,-0.0552849697161722,-0.358997308661398
severe,-0.33959887881893,-0.0754875046517839,-0.397868845988378,0.133911074724307,-0.198668473073545,0.435993393534226
