group,CD28,CD95,CD45RA,CD27,CD127,CD94
healthy,-0.159252279632692,-0.170468963303537,-0.382610777867348,-0.304616369585463,-0.125376050010163,0.0100369637519739
healthy,-0.259763284459524,-0.0449243814126892,0.0599594452587326,-0.455741948657714,-0.324639719552886,0.198861654804457
healthy,-0.237785762068489,-0.103726954709282,-0.25607918736606,-0.327242104012645,-0.247451667975358,-0.197100383362198
healthy,-0.3041346840918,0.505110190246057,-0.24207126193893,-0.675117374353146,-0.47793660238866,0.180757114082073
healthy,-0.331198903421053,0.367956625403507,0.0197405210659585,-0.644121337709315,-0.557329421851416,0.418307722460726
moderate,-0.145723754049823,0.188197604077499,0.105829488028102,-0.332296512362785,-0.403931686808295,-0.106034114912859
moderate,-0.384096106628427,0.0173251235469534,-0.299111189295783,-0.494119125750985,-0.0636486683184269,-0.181486622143857
moderate,-0.0468579208264066,0.0933642362673994,-0.550676625899322,-0.171749405192612,0.0618408702914015,-0.525155891670324
severe,-0.0849950093058616,0.0665483114354316,-0.0736880487719781,-0.0102014194599024,0.158780693661064,0.396679195822562
severe,-0.0034168511799292,0.149301756441042,0.358066209417789,0.0535678096170004,-0.042811337884107,0.214229090665132
severe,-0.650772838449687,0.344517794610815,-0.0928012833898867,-0.758297056523883,-0.642439341602228,0.538965591836439
