group,CD20,CD28,CD95,CD197,CD45RA,CD27,CD127,CD94
healthy,-0.167081509002079,0.239736211142599,-0.132195705933626,-0.057356451964416,0.081026137008033,0.492135263039923,0.225672310330749,-0.261021633368793
healthy,0.535347674022757,-0.052486460747258,0.0021721623284876,-0.0370393259840397,-0.0975958015278621,-0.0393039935369452,0.0768509647571224,0.361518831601809
healthy,0.137171838714093,0.556772795376267,0.175719238389199,-0.0216186340435456,-0.454179210968927,0.555752875549601,0.366977926557697,-0.268086825457054
healthy,-0.216497109549887,0.282211215877254,-0.513703098505646,0.211755477420762,0.325521394966628,0.734739693765244,0.41839024770351,-0.400871315217829
healthy,0.420373094396423,-0.0828410978281296,0.347076823604203,-0.584317124209701,-0.0550725435077121,-0.483795100734003,-0.220278603597008,0.147395005561849
moderate,0.0768372278649858,0.480294102988093,-0.0609971378375918,0.0598103858729747,-0.509483504686526,0.400565670411117,0.65506410245505,0.04935231714998
moderate,0.106229750224962,0.410023523775945,0.0389171340704084,0.119334084894073,0.244711840714905,0.465852693623788,0.183335131668082,0.101860151750957
moderate,0.214787242753211,0.228748257456006,-0.211784999170842,0.162347766526422,0.256391490140467,0.357358950664345,0.275038920524974,0.0828598770516457
severe,-0.239981655172026,-0.0623662145220711,-0.0981701538114121,-0.0900076485138796,0.0433013613415093,-0.166680175681907,-0.35155443501685,-0.277115784615043
severe,0.150067624163536,0.0891735817496922,0.158182348032461,-0.0198310116862973,0.0415391339107425,0.0849077228859913,0.254721892490604,0.482885337961445
severe,0.124106071370566,0.534986996631572,-0.373135176567299,0.305829984281378,0.28795084649523,0.695020975699811,0.75711351109688,-0.500659371212508
