group,CD3,CD8,CD45RA,CD27,CD38,CD127,CD94
healthy,0.235040738046161,0.0539825213175812,-0.0573860252632421,-0.550948060651863,-0.163478023015493,-0.292907105618254,0.0775594580840397
healthy,0.371367069417944,0.441750731904765,0.21575914313956,0.102048354998225,0.088237397266284,-0.0327923872899301,0.10822133760769
healthy,0.345576405078242,0.181769302176757,0.239243237360034,-0.0611681279277707,0.0754944180041767,0.060227097757679,0.270631021691589
healthy,0.390857675264073,0.398470118874421,-0.589930186223672,-0.403285468221663,-0.0078064150623484,0.0786113814190315,0.188048341029886
healthy,0.258661090374119,0.518441814375539,-0.181385407469133,0.614552532978916,-0.403364173939764,0.693446431105676,-0.401418702787948
moderate,0.125043763108469,-0.0396057434087375,-0.251994226063871,0.503685073762643,-0.0388922955092499,0.601926825848108,0.0540635014100518
moderate,0.422023547912803,0.520275740867929,0.0156070476479131,0.030385984790706,-0.129315270922469,0.0939519125181932,0.175946704800638
moderate,0.433474217865276,0.153644276419388,-0.261865809456863,0.203581638803667,-0.372997556538667,0.306155539233569,-0.497068664256518
severe,-0.511022150960836,-0.454007300705146,0.0874643328544047,-0.232585714715922,0.5981014120357,-0.131042374367563,0.518450837095736
severe,0.188169475595359,0.128527334180946,-0.397879520937153,-0.128147359051245,-0.267696404730082,-0.244484874169856,-0.419094012398928
severe,-0.0471258911469214,0.229394026112797,0.451210022341128,0.428481637810657,-0.374778237529662,0.716919475609068,-0.284375034623147
