group,CD8,CD28,CD45RA,CD16,CD27,CD38,CD127,CD94
healthy,0.218302403105565,-0.171520048978422,0.125812969193107,0.228189589468201,-0.350993736500506,0.0364606703738323,-0.0703341818687177,0.240184532898417
healthy,-0.265096855036324,-0.061338594828161,0.0574392229020284,0.219001325372901,-0.0015386502863272,0.124929553117211,0.110937707441233,0.254041223935329
healthy,0.175491628774455,-0.0075149555864962,0.444996420493188,0.111746466768088,0.0310860934335961,0.11271068984784,0.0054408736953939,0.418888205654961
healthy,0.311500820411956,0.2319189087005,0.252801727056673,-0.0175316022007619,0.535175953627003,0.0017270131384774,0.34114234277268,-0.0802364169016003
healthy,-0.491209125866904,0.0185453470410724,0.232574461970241,0.475355802472934,-0.136086048338284,0.513909635662241,-0.128743170581444,0.321075058006161
moderate,0.0927705218979741,-0.206429893459178,0.456391096819575,0.0999622232610404,-0.005701915986119,0.311597130707493,-0.157557646012515,0.543918215606492
moderate,-0.186126352405447,0.0283936822455498,0.27799751224499,0.289132236699165,-0.210932764832759,0.563408812622986,-0.098456911146939,0.247805615079931
moderate,-0.23446799812917,0.0085283376830068,0.315829413440172,0.232840981941145,0.0515948119491795,0.418889345456745,-0.0190520849950046,0.364713197532074
severe,0.0357479564235395,0.0202593372980194,-0.179297379988148,-0.106878592949296,0.0078524333961837,-0.251107855060066,0.250376911345275,0.356575041625014
severe,-0.358441605693624,0.148267889319859,0.122837801570505,0.066642798905043,0.114888926477754,0.384051362010952,0.268379204422791,0.440252722552645
severe,0.332509832707421,0.670373642652662,0.111650851743625,0.122295922726118,0.80351230808171,-0.0787714400679159,0.705079968476695,-0.416107077182806
