group,CD3,CD45RO,CD45RA,CD27,CD38,CD127,CD94
healthy,-0.0239355051196876,-0.170070503184736,0.0439503006409205,-0.575124642663929,-0.0966831831048245,-0.440360195235201,-0.0370592995460688
healthy,-0.495651681839533,-0.301088726697077,0.106036460043603,-0.577831662610315,0.0300291174114372,-0.335888387149047,0.191778163972694
healthy,-0.158608452036624,-0.0711616933283179,0.0783888196399138,-0.538813236819892,0.0839790204935235,-0.441644616242872,0.0726240453193279
healthy,-0.158972071709125,-0.537041144806441,0.46532057680879,0.0931866897578398,0.185791363165433,0.0015263580725347,-0.055045668931279
healthy,-0.331360569311508,-0.553798297812923,0.649949236856996,-0.372051998979627,0.432307327625201,-0.212213673475745,0.269343954342558
moderate,-0.226136481765415,0.0847729901573408,-0.167047157768437,0.0812213938091029,0.33557155576731,-0.0136848668705631,0.0406206541144778
moderate,-0.223124408029155,0.176000588501696,-0.0789431082554475,-0.486873415406028,0.507218995703432,-0.320442617936877,0.107821485895754
moderate,-0.273580882212171,-0.0566659504485382,0.0721155063593293,-0.615338127400352,0.37788733826487,-0.569332495293177,0.503346688856808
severe,-0.511424955240213,-0.0725922793255194,-0.0504008774951749,-0.339454607160343,0.50800641355464,-0.443333662127004,-0.0277224961939871
severe,-0.360309705048036,0.0915724806281839,0.228974891892244,0.0919269804206991,0.216585856350202,0.160215898910937,0.351802831795761
severe,0.126959179264844,0.0952632963807081,-0.115535271575372,-0.672264709051514,0.429671434027296,-0.8041465831978,0.472309500690236
