group,CD3,CD28,CD1c,CD86,CD27,CD38,CD127,CD94
healthy,0.0277206466203634,0.0811402422364237,0.456584876514512,0.0718774026702578,0.0367135033795344,0.211985864844376,0.0234379389755842,0.208253727596423
healthy,-0.323077535472748,0.139452646142348,0.0083391682263602,-0.0495543037490168,0.324085816849713,0.0175385917680398,0.361579048581005,0.0740084829001184
healthy,-0.322286805411029,0.563209839103963,0.109488109703027,0.0842848355901522,0.585736435379005,-0.0384881015283119,0.354146706207066,-0.130004526515309
healthy,-0.0714532669567675,-0.212056643743421,-0.0849421314765764,0.480830120651589,-0.183086614036766,0.0558286920507801,-0.625565114485077,0.0543280025620252
healthy,-0.332961575291544,-0.11244614062071,0.0572081896833351,0.0539756621631149,0.0666923737153609,0.292746960511278,-0.15800294463593,0.238355929416784
moderate,0.289402898370433,0.433840817990283,0.0419424816249379,-0.126797928811656,0.43951647232727,-0.234208321259742,0.631821770867163,-0.175973128772685
moderate,-0.274337118726173,0.186122339816014,0.113235914043493,0.156675857896527,0.025566066393086,0.515878336239351,-0.0599162611843211,0.23727468749082
moderate,-0.104004889931232,0.61717457487856,0.104115573881689,0.0862018496415605,0.787919153852353,0.096813591187476,0.644920920193155,-0.124984933819625
severe,0.457211290335272,0.135847944261529,-0.0965368752530902,-0.0488917819673588,0.300577130578052,-0.529357557585895,0.464495080175697,0.0582817040974237
severe,-0.38056878150287,0.114696064824794,0.205399240985052,0.32444064314995,0.173301563169694,0.334178884502016,0.131932357568556,0.434987576708426
severe,-0.189521915738711,0.5082152489151,0.049977978806797,-0.108860612106287,0.656609356415411,-0.374411471061716,0.805409271034548,-0.470651775566526
