group,CD8,CD27,CD38,CD127,CD4,CD45RA,CD27
healthy,0.231556858642175,0.439986906600678,0.251663356781368,0.256610087698548,-0.0495195456319664,0.496203549943892,0.154289387159745
healthy,0.428951973964184,0.472841108040187,0.0377894298570771,0.224562729070991,-0.14451849633759,0.0891139310074613,-0.518777651777595
healthy,0.298774895774641,0.155577998935566,0.0311282733080031,0.20759978285782,0.100031935882624,-0.0187957175034606,-0.444238823145782
healthy,0.399536655410358,0.626557218514988,-0.212944797461493,0.544083601922768,0.0786765982202404,-0.276916075473407,-0.723524016594086
healthy,-0.584819848923368,-0.491852145832912,0.452289765382209,-0.591327991022604,-0.0951148829915568,0.262695341987594,-0.258187973201663
moderate,0.177112430865981,0.384498683445434,-0.233483448184682,0.611155049143803,0.0297931643029391,0.0731332390481142,0.102395749969859
moderate,0.31225338221288,0.512602344235926,-0.28566243714788,0.269838329837952,-0.105380699833207,-0.150361308670522,-0.244458180092439
moderate,0.183926709849993,0.16988668032604,0.367616190529831,-0.0803269660096175,-0.563662061420843,0.552737847668447,0.64820630067591
severe,0.337137412541425,0.332003011661001,-0.651472632486638,0.348431836686707,-0.268975443238592,0.0691629366067445,-0.165263945103255
severe,-0.379020756166082,-0.165481434138536,0.144737250497822,-0.0503285267937821,-0.0832352883468318,0.258765309792148,-0.0124867646730184
severe,0.262666504788659,0.670692898107762,-0.369567022017121,0.801983060675383,-0.0352368894169622,0.278994080665157,-0.322354466160847
