group,CD3,CD28,CD45RO,CD45RA,CD27,CD38,CD127
healthy,0.0194653152252204,0.425565402337557,-0.0492494395288772,0.0345825900588276,0.627244437091511,-0.0251651367258828,0.429681292426336
healthy,0.430045186276378,0.241337492028926,0.148443430008508,-0.128100590531864,0.329906693733994,-0.122202542947618,0.137853083239914
healthy,-0.0002262530570806,0.559978994098204,0.244077653348991,-0.392018803871292,0.64471351241348,-0.160647115694407,0.494214735924076
healthy,-0.122276520332657,0.265996504610636,-0.355265884834308,0.582321621132236,0.601959616745252,-0.14731435224397,0.261899138433779
healthy,0.161918578099993,0.336454996451473,0.621331003558402,-0.577156014046498,0.298594864105311,-0.217644367359829,0.125024950321269
moderate,0.245665194981865,0.304084346401572,0.201580572435776,-0.476090978975861,0.260039054787913,-0.352856487692459,0.373417873555536
moderate,0.157293156779858,0.319280893315644,-0.112794061723643,0.0411289540644527,0.582482158952968,-0.451313665710021,0.348159880724584
moderate,0.24692572028036,0.530174180324403,0.0573041809498289,-0.0393709170135857,0.682295909524128,-0.332408347527965,0.60754334853086
severe,-0.637266698765997,-0.172659226743285,-0.11080721675973,-0.134669006281467,-0.437351189714798,0.632041289233671,-0.47803205865088
severe,0.437237554433301,-0.0203957220084311,0.149381307735699,-0.147246495443776,-0.037096486509852,-0.0973754839214267,-0.18636076247477
severe,-0.418967217989027,0.583194944193991,-0.0469229150874715,-0.111688659245784,0.715386099805046,-0.215622548524931,0.661964942457446
