group,CD3,CD8,CD45RA,CD27,CD127,CD94
healthy,0.0287630338430701,0.122723157836701,0.201549607726979,-0.428368673510976,-0.154851406349068,0.19659901538389
healthy,-0.0191442874901885,-0.162349680048023,0.28210132769551,-0.416083194490867,-0.214618785260195,0.411915770461774
healthy,0.313501113839747,0.0805877099858858,0.514932065603818,-0.438499599622304,-0.285403691968659,0.445966322018395
healthy,-0.0102651504869494,0.262078068314892,0.195734864322751,0.701873351058137,0.501060533119213,-0.300782534677935
healthy,-0.156593671660233,-0.435598095548663,0.227272891139675,-0.750854784037434,-0.555747077784115,0.519511937690783
moderate,-0.0990563853373617,0.0409468522313198,0.430539535675764,-0.409612322393239,-0.593767316685726,-0.0650317033510292
moderate,0.433458916982995,0.225120062462515,-0.117628723221337,-0.464073906945003,-0.117910787721975,0.104932931072539
moderate,0.254700487372965,-0.057699168360847,-0.181134419750798,-0.548122408841758,-0.399262497587368,0.0704796721740353
severe,0.537020560813941,0.527182501295256,0.209742835109074,0.60651333085748,0.541191280431091,-0.205240079524445
severe,-0.251817739905203,-0.10403909337563,0.109616364050728,0.104251887875337,0.136021298695603,0.242679908871544
severe,0.33556006876731,-0.378172455569924,0.544142548334052,-0.390117357149975,-0.258183851090042,0.249538350760681
