group,CD3,CD4,CD8,CD95,CD45RO,CD27,CD127
healthy,0.110153438437028,-0.124816330954604,0.0100497622239125,0.193811310358849,-0.169092538677457,-0.355460486866389,-0.388201893778096
healthy,0.254336792983945,0.104536123247423,0.290383510288562,0.0061303633267195,-0.0960412442249992,-0.436209215361871,-0.423099552061722
healthy,0.307883531788756,0.11715795109285,0.0358057768110686,0.0151698902840738,-0.228509184108305,-0.42391499989968,-0.242704399345162
healthy,0.0332607144676193,0.133605913276447,-0.164767432198312,0.519842017354095,0.346394563909959,-0.72885500587186,-0.428932889605544
healthy,0.27056261378115,-0.0357154083004122,0.487016067659183,-0.440433242068016,-0.571174475259416,0.164461216757733,0.417003262058943
moderate,0.101236941686534,-0.0515674034444832,0.555460473926058,-0.169713245426935,-0.258787726919983,-0.0623759892483109,0.0667792276504875
moderate,0.457148264940165,0.0654549972241649,0.484971569868659,0.164534106055416,0.124139607077513,0.0062130532496081,0.0569649844147961
moderate,-0.114237856916384,-0.498194754585565,0.36764087987656,-0.11796931930852,-0.339956799185342,0.0190725070718271,-0.17402714848742
severe,0.447630235134768,0.279491782094696,0.349002481758569,0.0686445085513792,0.12435573089421,0.38356862242815,0.465756129501332
severe,0.405452893458243,-0.127997233608699,0.390556894131324,-0.131581698577742,-0.149375324985008,0.0105573474337341,-0.131664401426613
severe,0.123904005410827,-0.027632804857889,0.577851040969956,-0.135508244913256,0.135718100805022,0.301907914804637,0.44547101162438
