group,CD3,CD8,CD45RA,CD16,CD27,CD38,CD127,CD94
healthy,-0.17862477126157,-0.291351497641243,0.0377151488815731,-0.198847607582739,0.281352332962963,0.0632005722080526,-0.0437206332434232,-0.297536065362987
healthy,-0.476892338632073,-0.400066281638431,-0.0389843222297261,0.035343986662139,-0.204572248992975,-0.0486523186255259,-0.0916384333871906,-0.116692512092641
healthy,-0.330440927714657,-0.111262515725063,-0.462771960053384,-0.0669283979825177,0.413759035852469,-0.102521771107401,0.245687513703248,-0.406924680979869
healthy,-0.0226413218242951,0.311957345276048,-0.0119482554600766,0.12964318470007,0.391939894929781,-0.123892476420004,0.504844902832614,-0.173675261359418
healthy,0.277033209305185,0.680741602885382,-0.22433972247423,-0.474891473650828,0.354030721287731,-0.476428853694145,0.554820405698892,-0.496115366591079
moderate,-0.131653622198677,-0.507315865586666,-0.29431634834431,0.0793996098789448,0.0458746351938437,0.0534509985420563,0.151068332805178,0.046433818634946
moderate,-0.461802492907869,-0.301436716143099,0.171884581209903,0.135738530876476,-0.0186742632141297,0.409075445996755,-0.192861270071993,0.0656890402191696
moderate,-0.459628348870529,-0.0306796021874376,0.415403193070588,0.181393139320414,-0.0540607396499384,0.448194238766613,-0.231703484304841,0.560473781310083
severe,0.38291427794802,0.44198094396466,0.214855624178883,-0.150920427839163,0.576758240913262,-0.351795904475868,0.487013818133463,-0.0487937198858314
severe,-0.404256423318622,-0.403279341001117,0.0195464927105945,-1.63674495878124e-05,-0.121532002098184,0.0822450430183611,0.0596408727137632,0.327389583543496
severe,-0.297232115112437,-0.478106219672271,0.383419966908519,-0.0543670235448395,0.129273229103072,0.255650682009395,-0.0184967128385097,0.0887709394262854
