group,CD3,CD4,CD8,CD28,CD45RA,CD27
healthy,0.118364356133079,-0.0532061948931565,0.128434292918496,-0.278436845684403,-0.158881689933766,-0.568366377338612
healthy,-0.160889257998823,-0.0389587973752287,-0.17361951262541,-0.235803955905957,0.226293089641794,-0.315858703002776
healthy,0.173146695141493,0.156033035190625,-0.172407580114425,-0.561162988509901,0.500045216781591,-0.603678712007288
healthy,0.148472071792579,0.20128315721396,-0.549540493296933,0.0327030219445636,0.533503713238737,0.0050331466575296
healthy,0.187999853136159,0.38348512819499,0.137086375582622,0.052546110493022,-0.149784789896341,0.162406057820148
moderate,0.120068722166347,-0.102901519389456,0.131518217127454,0.0345430292814497,0.0321108623794463,0.0329385924630837
moderate,0.445673060073154,0.368716739983649,0.122264792719876,-0.202189983021491,0.0742076136984494,-0.316786303187045
moderate,0.32076676884208,0.57849313878632,-0.279793438835914,-0.335747722611045,-0.30577118990497,-0.466518757557442
severe,0.525275735802105,0.3857338917918,0.375131060539967,0.122838766234229,0.161193139863313,0.305523014295716
severe,-0.429708426874285,0.0744494788762322,-0.438278416988224,0.0705228979850507,0.0926620585454816,0.0277651951309428
severe,0.52671112962597,0.0953240176157436,0.183615075175531,-0.340808437010101,0.0406510116213074,-0.34689442324175
